round,B0_accuracy,alt_accuracy,alt_minus_B0_pp,returning_client_rate,flip_fraction,reset_recovery_coeff_mean_I,reset_recovery_coeff_mean_F,reset_residual_ratio_mean_I,reset_residual_ratio_mean_F
24,51.36000061035156,53.0,1.6399993896484375,0.9,0.4,0.00018960371835343156,0.00013842564331709772,1.000726481374473,1.000836929173758
25,55.150001525878906,57.029998779296875,1.8799972534179688,0.9,0.5,0.0002044183281193932,0.00030491474954856437,1.0006270772611783,1.0005648699571925
26,51.04999923706055,51.959999084472656,0.9099998474121094,0.9,0.7,6.475255191418606e-05,0.00021631947173601137,1.0011916540743513,1.0009823529173822
27,51.61000061035156,53.86000061035156,2.25,1.0,0.5,0.00014542618194011842,0.00023053579482544052,1.0008124450092573,1.0012648099750123
28,51.5,52.33000183105469,0.8300018310546875,1.0,0.5,0.00013766527536276994,0.00010545919429422079,1.0005347734303032,1.00047822873823
29,47.15999984741211,48.77000045776367,1.6100006103515625,0.9,0.5,0.0003600986485119676,0.00021386303428927602,1.0009206001351652,1.0009133199056788
30,56.86000061035156,58.220001220703125,1.3600006103515625,1.0,0.3,0.00017136035610084587,0.0002284444539212045,1.0005985137580606,1.0012978292184433
31,57.20000076293945,58.25,1.0499992370605469,0.8,0.7,0.00020240235370784257,0.00019548385686617037,1.0008643697720712,1.0006460584569763
32,57.790000915527344,59.63999938964844,1.8499984741210938,0.9,0.5,0.000142858537176291,0.0001978595684126036,1.0009669676732085,1.0012953316773416
33,56.36000061035156,58.47999954223633,2.1199989318847656,0.9,0.5,0.0002143102238101906,0.0003102324469992857,1.0007305697991122,1.0008246442748683
34,66.2300033569336,67.52999877929688,1.2999954223632812,1.0,0.4,9.564115489559684e-05,0.00023273835736775027,1.0015622749525164,1.0006496341202988
35,55.4900016784668,57.119998931884766,1.6299972534179688,1.0,0.7,0.00018641022942614892,0.00024452452062670286,1.0009879196879352,1.002015493412025
36,53.540000915527344,53.029998779296875,-0.5100021362304688,1.0,0.7,0.0001222568155960725,0.00041437334377751486,1.000633951185218,1.001083490741379
37,61.36000061035156,64.25,2.8899993896484375,1.0,0.3,0.00036551484057940214,0.00014108249301075264,1.0007969533588763,1.0009527427172205
38,57.97999954223633,60.619998931884766,2.6399993896484375,1.0,0.4,0.00043050945706619813,0.00019646730340586996,1.001411369242753,1.000612491113552
39,59.81999969482422,60.349998474121094,0.529998779296875,1.0,0.5,0.00020125857955550784,0.00022775465315512814,1.0012272248447986,1.0009020310871084
40,65.27999877929688,65.9800033569336,0.7000045776367188,1.0,0.4,0.00017221499208148,0.0002489374148207396,1.0010618784717813,1.000703509227069
41,67.66999816894531,67.77999877929688,0.1100006103515625,1.0,0.4,0.0003471878492434547,0.0004569977361892337,1.0010458857512565,1.000921179130506
42,57.77000045776367,61.7599983215332,3.9899978637695312,1.0,0.5,0.0001366615720663973,0.00019939153704063447,1.000741274985286,1.001254258179064
43,62.060001373291016,62.150001525878906,0.09000015258789062,0.9,0.7,0.00014490552383596164,0.00037167206402227644,1.0008441880267875,1.0010382174849404
44,63.189998626708984,62.040000915527344,-1.1499977111816406,1.0,0.3,0.0002550259677264135,0.00016723190753214752,1.0012529512780983,1.001746557092984
45,55.09000015258789,56.650001525878906,1.5600013732910156,1.0,0.4,0.0003834073484387679,0.0001342795068702576,1.0016832257124075,1.0011982075151518
46,66.11000061035156,66.37999725341797,0.26999664306640625,1.0,0.7,0.000553944887567527,0.0004254196923036864,1.0009621632410386,1.001174045899168
47,61.189998626708984,63.599998474121094,2.4099998474121094,0.9,0.6,0.0003020059377455341,0.0003160533321313195,1.0008699562248073,1.0008938289790221
48,61.599998474121094,62.7599983215332,1.1599998474121094,0.8,0.8,0.0001233602976899322,0.00031568035336725835,1.001579708569475,1.0012415745704095
49,59.5099983215332,59.25,-0.2599983215332031,1.0,0.5,0.0004983789779505134,0.00037435616190033814,1.0017529159571565,1.0011152106501027
50,62.38999938964844,61.41999816894531,-0.970001220703125,1.0,0.5,0.0002842681515107364,0.0004297017948266116,1.0013964572436163,1.0012251798953957
51,56.099998474121094,56.27000045776367,0.17000198364257812,1.0,0.4,0.0001664749379442649,4.1705948393311266e-05,1.0009355440821814,1.00101734230223
52,66.94999694824219,67.66999816894531,0.720001220703125,1.0,0.5,0.00040039465859920793,0.00044463660174267467,1.0016725379225715,1.0020811130364904
53,60.72999954223633,60.65999984741211,-0.06999969482421875,1.0,0.2,0.0002985096422856116,0.00027648348802404127,1.001434938124826,1.0031113406972982
54,51.72999954223633,52.619998931884766,0.8899993896484375,1.0,0.2,0.0005293983177850242,-4.753624437463934e-05,1.0025770980443842,1.0019634338943035
55,67.12000274658203,68.23999786376953,1.1199951171875,1.0,1.0,,0.0005491560269134865,,1.0018342607646722
56,65.16000366210938,66.58999633789062,1.42999267578125,1.0,0.5,0.0004857091430875107,0.0008405442397423933,1.0017986332357587,1.0016133807583845
57,56.97999954223633,61.16999816894531,4.189998626708984,1.0,0.5,0.0004647820836217437,0.0004636030583527734,1.0013709313818857,1.0015524490052865
58,53.369998931884766,62.79999923706055,9.430000305175781,1.0,0.4,0.0005545090752871426,0.000615798668630864,1.0024594991329365,1.0021840519224203
59,61.20000076293945,66.19000244140625,4.990001678466797,1.0,0.5,0.0005268098173903027,0.00044259100336121104,1.0014733009555328,1.0015225441699651
60,64.73999786376953,67.05000305175781,2.3100051879882812,1.0,0.6,0.0004580291995566973,0.0006601346313126331,1.001138722153807,1.0019428534292283
61,66.75,69.0,2.25,1.0,0.5,0.0007480208971299143,0.0009153777971979771,1.0022491485260185,1.0021662640303695
62,63.790000915527344,65.20999908447266,1.4199981689453125,1.0,0.4,0.0004646050349569383,0.00029348012404236605,1.0018010440413738,1.001697430791934
63,64.2300033569336,67.5999984741211,3.3699951171875,1.0,0.0,0.00043417434954152827,,1.002039234431706,
64,64.52999877929688,66.5,1.970001220703125,1.0,0.5,0.00019680752507362015,0.0005082619136124238,1.0018081317081147,1.0022298681060495
65,65.80999755859375,67.01000213623047,1.2000045776367188,1.0,0.7,0.0006881339809923524,0.00039888767634703665,1.0033233122791365,1.002213192650124
66,64.66999816894531,66.37000274658203,1.7000045776367188,1.0,0.5,0.001132932672032642,0.0004344543479073747,1.002084040077979,1.0019637012831586
67,63.15999984741211,63.61000061035156,0.4500007629394531,1.0,0.3,0.00019933309359424056,0.0011887223318968584,1.001946790154901,1.0022672274628752
68,57.5,59.4900016784668,1.9900016784667969,1.0,0.5,0.000974776764364175,0.00010243114441887379,1.0035073698772785,1.0020089347733616
69,69.98999786376953,72.80000305175781,2.8100051879882812,1.0,0.7,-2.8486407106892507e-05,0.00042456992536830403,1.0024245380543446,1.0022542535075454
70,59.650001525878906,63.06999969482422,3.4199981689453125,1.0,0.2,0.0004921029133574799,0.000830056155460958,1.0027729180628902,1.0021208768983236
71,58.91999816894531,59.84000015258789,0.9200019836425781,1.0,0.7,0.001253542225179256,0.001044602085261677,1.003609432639822,1.0036679545572196
72,62.560001373291016,65.9800033569336,3.420001983642578,1.0,0.5,0.0007087881692692077,-5.7007359076249764e-05,1.002937230331797,1.003053363435853
73,69.18000030517578,70.27999877929688,1.0999984741210938,1.0,0.5,0.0006446820638049685,0.0003193338158568716,1.0033043656722758,1.002433268011604
74,67.22000122070312,69.63999938964844,2.4199981689453125,1.0,0.6,0.0004886904862816015,0.0008633916673492366,1.0019910282478255,1.0029140731674573
75,71.70999908447266,73.98999786376953,2.279998779296875,1.0,0.4,0.00087376817564686,0.0012980601069481955,1.002434440669564,1.0030846105335998
76,66.94999694824219,67.19999694824219,0.25,1.0,0.6,0.00032256692722017183,0.0006422725248461375,1.0037200549547818,1.0033830879429215
77,65.30000305175781,67.91999816894531,2.6199951171875,1.0,0.4,0.0007414145542932564,0.0004926363470509695,1.003551614291398,1.0023580506380623
78,64.62000274658203,68.0,3.3799972534179688,1.0,0.8,0.0012569262024051157,0.0006174798463593804,1.0028682912470277,1.0035430150067972
79,69.20999908447266,69.3499984741211,0.1399993896484375,1.0,0.4,0.0007076652452118738,0.0006138220557040731,1.0027728725562002,1.0033881605582757
80,66.68000030517578,68.11000061035156,1.4300003051757812,1.0,0.3,0.0006470734974850397,0.0008772683618647827,1.0037742954986169,1.0039736233232517
81,65.19999694824219,65.76000213623047,0.5600051879882812,1.0,0.4,0.0010604923705841683,0.0012549952756894418,1.0036209181471942,1.0031568851396866
82,66.30999755859375,69.76000213623047,3.4500045776367188,1.0,0.8,4.189994672236351e-05,0.0007637700065122684,1.0030000739532765,1.0049400453660922
83,69.41000366210938,73.44999694824219,4.0399932861328125,1.0,0.6,2.6204232486907064e-05,0.000658305327248929,1.0034571189979495,1.0035916342873763
84,65.27999877929688,66.88999938964844,1.6100006103515625,1.0,0.4,0.000515869349989839,0.0010212912831177503,1.0049443053690612,1.004463579928995
85,68.44000244140625,70.36000061035156,1.9199981689453125,1.0,0.5,0.0008495084575951944,0.0008635613960369893,1.003987584383792,1.0034681731556598
86,67.23999786376953,66.7699966430664,-0.470001220703125,1.0,0.5,0.0009243983624267887,0.00045023430058436327,1.0055446381193476,1.0050617547168899
87,70.0999984741211,73.16000366210938,3.0600051879882812,1.0,0.5,0.0008220507706595374,0.0008598763396495901,1.0049509384432642,1.0071807890997773
88,69.8499984741211,71.08999633789062,1.2399978637695312,1.0,0.6,0.00011620625668588403,0.00033448886639887726,1.0050088757751772,1.0048849033489198
89,70.08000183105469,72.76000213623047,2.6800003051757812,1.0,0.5,0.0006769023193279974,0.0010997818440512026,1.0040836816203669,1.006379992071539
90,68.87000274658203,66.3499984741211,-2.5200042724609375,1.0,0.6,0.0004806569704188263,0.0008673302477027724,1.0075545940368738,1.005083142755161
91,64.2300033569336,72.19000244140625,7.959999084472656,1.0,0.6,0.0008892517817022864,0.0006214490891861005,1.007923161586318,1.0039458544570181
92,66.58999633789062,72.19999694824219,5.6100006103515625,1.0,0.4,0.0013379996633665827,0.0004299308309582536,1.0066765750661386,1.0051093911319948
93,67.05000305175781,68.11000061035156,1.05999755859375,1.0,0.7,0.0013970709119767233,0.0009712832182671766,1.004566432556736,1.0080194160421823
94,68.36000061035156,69.73999786376953,1.3799972534179688,1.0,0.2,0.0011155888692514888,0.0007195786282985223,1.0054138208051007,1.0051366417756848
95,69.05000305175781,73.69999694824219,4.649993896484375,1.0,0.4,0.0011145650106554818,0.00010871557308107696,1.006354778120204,1.0055918327026612
96,67.61000061035156,71.9800033569336,4.370002746582031,1.0,0.8,7.045975129237996e-05,0.0015246359034365548,1.0063045799723769,1.0056731643886714
97,66.91000366210938,66.13999938964844,-0.7700042724609375,1.0,0.4,0.0010652110062872942,0.0009408602662216824,1.0079489240277393,1.0054000508310714
98,65.58000183105469,67.36000061035156,1.779998779296875,1.0,0.4,0.0014604379653319875,0.0011353258396982605,1.006149584026566,1.005194383989218
99,62.150001525878906,64.94999694824219,2.7999954223632812,1.0,0.4,0.0014342166448398019,0.00025971858988641417,1.0079838470203597,1.0063695260756482
100,64.0199966430664,67.75,3.7300033569335938,1.0,0.9,0.0015609233956602284,0.0011353214911602335,1.0065282954662143,1.00988818375724
101,68.4800033569336,71.87000274658203,3.3899993896484375,1.0,0.6,0.001107131175596342,0.0007712321054704859,1.0068900786337371,1.0066430948773182
102,73.33000183105469,73.69999694824219,0.3699951171875,1.0,0.1,0.00124077208674424,-0.000653721499324811,1.006991271968199,1.0057463965794642
103,72.45999908447266,75.30999755859375,2.8499984741210938,1.0,0.8,0.0015246309628588926,0.0008563481307108806,1.007735871634056,1.0066739839347572
104,72.48999786376953,74.70999908447266,2.220001220703125,1.0,0.7,0.0008335647408405669,0.002608078359187417,1.0069651437495377,1.009038949313492
105,70.95999908447266,73.62000274658203,2.660003662109375,1.0,0.4,0.0013167225003148746,0.0012794491726494303,1.0081572144277782,1.0078707035807928
106,69.55000305175781,71.76000213623047,2.2099990844726562,1.0,0.3,0.0007718539392969208,0.002351023873729543,1.0085461184492306,1.0087713389143391
107,45.15999984741211,56.0099983215332,10.849998474121094,1.0,0.2,0.0012844312399699197,0.00036757428361922247,1.0105887434259142,1.0079517093627297
108,69.4800033569336,74.02999877929688,4.549995422363281,1.0,0.3,0.0015405218163223155,-0.0005174097263312631,1.0114003204697768,1.0111119423315273
109,72.97000122070312,75.91000366210938,2.94000244140625,1.0,0.6,0.002678712791774618,0.0009444499980774504,1.010076207370984,1.0072455767645838
110,71.6500015258789,74.55999755859375,2.9099960327148438,1.0,0.6,0.0014498081513167284,0.0007272486808141161,1.0075682846242904,1.0102015806891582
111,72.83000183105469,76.16999816894531,3.339996337890625,1.0,0.4,0.001035307620106326,0.0011429672100951207,1.0124182512982742,1.0097865274206999
112,72.61000061035156,72.91999816894531,0.30999755859375,1.0,0.7,0.0019428943703055802,0.0018331524146837817,1.0088616161004669,1.0130959751577775
113,67.66000366210938,69.45999908447266,1.7999954223632812,1.0,0.5,0.0010674915593834615,0.0018259954501973954,1.009961395255932,1.0107754799427813
114,67.5,71.44999694824219,3.9499969482421875,1.0,0.5,0.0013911078714459548,0.0014510796238297375,1.014542241991342,1.0110778491612562
115,64.06999969482422,66.98999786376953,2.9199981689453125,1.0,0.3,0.0005850142982895182,0.0024986948644993984,1.010222770118215,1.029601857544903
116,69.8499984741211,74.66000366210938,4.810005187988281,1.0,0.7,0.0014694266520975906,0.0009993301098994568,1.0101080732467924,1.013523670079698
117,66.8499984741211,68.86000061035156,2.0100021362304688,1.0,0.7,0.0026137388320004603,0.0027145972224129726,1.0186997343874493,1.0135341265746363
118,71.13999938964844,74.76000213623047,3.6200027465820312,1.0,0.5,0.0023158770251191394,0.0024846910001782322,1.0113478418476636,1.0146913549875216
119,71.2300033569336,64.95999908447266,-6.2700042724609375,1.0,0.6,0.002158963011240806,0.0008025556501520025,1.0219314427634374,1.0185997809147949
120,66.44999694824219,70.56999969482422,4.120002746582031,1.0,0.7,0.002879302236100979,0.0010037933561644796,1.0141832394881787,1.0163606916140178
121,72.16999816894531,74.33999633789062,2.1699981689453125,1.0,0.4,0.004134043223819111,0.0011997744477798842,1.0139266319736344,1.0138753871006154
122,68.86000061035156,72.86000061035156,4.0,1.0,0.4,0.001759605746126309,0.0008370697272901573,1.0107179162366307,1.0121689004501164
123,70.01000213623047,72.45999908447266,2.4499969482421875,1.0,0.5,0.001133003582111768,0.0018777203152517904,1.0192800899689778,1.0140048583320855
124,65.7300033569336,66.01000213623047,0.279998779296875,1.0,0.6,0.0017116080330962524,0.00045868111748923325,1.0143397905600546,1.0199268158624795
125,66.08000183105469,68.08000183105469,2.0,1.0,0.2,0.0018840968786731215,-0.00023616983041988362,1.0243076749826625,1.0433806045453413
126,61.970001220703125,68.16000366210938,6.19000244140625,1.0,0.4,0.0019184761652562075,0.0029235765732283795,1.0133860007616369,1.0136723720802334
127,71.27999877929688,74.58000183105469,3.3000030517578125,1.0,0.5,0.0034611410165976096,0.002438165598258043,1.0144008578598627,1.020054862502627
128,67.5199966430664,72.88999938964844,5.370002746582031,1.0,0.6,0.00046674338792350006,0.0008668841309408703,1.0180696016849515,1.0173865630987333
129,74.44999694824219,77.76000213623047,3.3100051879882812,1.0,0.3,0.00157663164448087,0.001892542899391364,1.017765303811763,1.0140276964979125
130,65.5199966430664,70.73999786376953,5.220001220703125,1.0,0.3,0.0023823990454175264,0.0015708563748826562,1.0164573398065426,1.0201800562120065
131,66.22000122070312,70.3499984741211,4.129997253417969,1.0,0.6,0.0018715527788718276,0.0004438770563251939,1.0276986219222013,1.0235475881843634
132,74.7699966430664,78.19999694824219,3.4300003051757812,1.0,0.5,0.0029008279198205976,0.0023854213429291998,1.0153896993269942,1.0178921419014937
133,66.5999984741211,70.30999755859375,3.7099990844726562,1.0,0.5,0.00032112403492437394,0.0024061082952722673,1.0174853819091552,1.0184916176132697
134,72.9000015258789,75.94000244140625,3.0400009155273438,1.0,0.6,0.003019348482783426,0.002108444867387698,1.0210440603906958,1.0219999352681706
135,66.58000183105469,70.7300033569336,4.150001525878906,1.0,0.7,0.0017180153903285963,0.0029788526255727496,1.019098972652255,1.016945457663865
136,68.69999694824219,68.26000213623047,-0.43999481201171875,1.0,0.5,0.0006471994728676879,0.000841415836315722,1.0217412233010015,1.035794612933937
137,71.13999938964844,73.19000244140625,2.0500030517578125,1.0,0.7,0.0028268920927690118,0.003003929495537391,1.0173448361075819,1.0225608553519208
138,74.33999633789062,76.9000015258789,2.5600051879882812,1.0,0.6,0.0029970459823613336,0.0030675679628111956,1.0197514611125378,1.018585026735962
139,72.20999908447266,73.58999633789062,1.3799972534179688,1.0,0.7,0.001094723393417811,0.002821636879684266,1.0152517964169319,1.0178815310698595
140,73.44000244140625,77.38999938964844,3.9499969482421875,1.0,0.2,0.0031015362666290103,0.00158747602009045,1.0213263611691095,1.0246615736610387
141,75.58999633789062,76.91999816894531,1.3300018310546875,1.0,0.6,0.0019420407305610358,0.0012938601523653694,1.0231183738676548,1.0260658456156735
142,67.88999938964844,68.81999969482422,0.9300003051757812,1.0,0.1,0.002830201144608529,0.0005198578954700437,1.0273158416209331,1.020644611623708
143,64.80999755859375,67.38999938964844,2.5800018310546875,1.0,0.6,0.00168653351682997,0.0028444145915833097,1.0197173933812842,1.023063776688171
144,74.97000122070312,77.58000183105469,2.6100006103515625,1.0,0.3,0.003957005912718297,0.004350951905184513,1.024954285721329,1.0272464237858947
145,68.2699966430664,70.52999877929688,2.2600021362304688,1.0,0.6,0.002820309659611017,0.002618759603218206,1.0226611190137977,1.025234253516489
146,66.8499984741211,67.2300033569336,0.3800048828125,1.0,0.3,0.0022396032634456465,0.0020345718587430795,1.027729606454389,1.0169348120849602
147,70.13999938964844,73.0999984741211,2.9599990844726562,1.0,0.7,0.003372997495884978,0.001708996135425338,1.0437109566612854,1.031567781179407
148,69.58999633789062,72.20999908447266,2.6200027465820312,1.0,0.3,0.0029709127272566577,0.002130277570003548,1.0269451534882077,1.0227657797409926
149,68.26000213623047,72.70999908447266,4.4499969482421875,1.0,0.5,0.0032218455361400595,0.005706656373400547,1.0273139407659693,1.0373994555088788
150,74.44999694824219,77.19999694824219,2.75,1.0,0.5,0.0018249289181956029,0.0034786045139485037,1.0197845222387625,1.0212282843897227
151,61.810001373291016,61.90999984741211,0.09999847412109375,1.0,0.5,0.00142894138818345,0.00287554656965971,1.0271137054470514,1.0280640864528565
152,68.30999755859375,67.80999755859375,-0.5,1.0,0.6,0.003141436115535073,0.003755337677059221,1.039948798642517,1.0346590266175175
153,74.8499984741211,76.70999908447266,1.8600006103515625,1.0,0.7,0.0016670733987854097,0.0017237973344132241,1.0289230212769833,1.0381660965986061
154,72.76000213623047,75.41000366210938,2.6500015258789062,1.0,0.2,0.003146481817868748,0.0022973140919991687,1.024412683727755,1.0434899633499344
155,69.81999969482422,74.0999984741211,4.279998779296875,1.0,0.4,0.0029933084628823068,0.0023052067283166437,1.0262314668785557,1.0286243424349455
156,72.47000122070312,75.8499984741211,3.3799972534179688,1.0,0.5,0.0009973477019686425,-0.0004087229563756106,1.0451345150980118,1.0337434251251758
157,67.9000015258789,68.08999633789062,0.18999481201171875,1.0,0.5,0.004742192084826813,0.002023260307935902,1.03662692540066,1.0346692658158805
158,69.0199966430664,69.0199966430664,0.0,1.0,0.7,0.004267530391643335,0.002096876804643847,1.0367121391891914,1.0379998871950469
159,71.05999755859375,73.4800033569336,2.4200057983398438,1.0,0.7,-0.00011569944906390637,0.00019702587033822546,1.0335394620687606,1.0407081002076608
160,66.01000213623047,71.30999755859375,5.299995422363281,1.0,0.4,0.004786566010256028,0.004245877921939279,1.044233729954395,1.0337419742317353
161,74.97000122070312,77.83000183105469,2.8600006103515625,1.0,0.3,0.0001614881346541868,0.0035439766513749357,1.0391874028776018,1.02878317786342
162,71.23999786376953,74.36000061035156,3.1200027465820312,1.0,0.5,0.003531799481210561,0.00249264781825013,1.0327082334391124,1.0322999722783384
163,70.75,72.58999633789062,1.839996337890625,1.0,0.6,0.0014190833568498323,0.0030178423551475136,1.0356877415116836,1.0407090988280079
164,67.79000091552734,72.20999908447266,4.4199981689453125,1.0,0.6,0.0020763784487999857,0.0012320656778968158,1.036929325508949,1.0447469718135836
165,74.43000030517578,76.61000061035156,2.1800003051757812,1.0,0.6,0.0015350669062108072,0.004244690408038523,1.036824770802987,1.0305461311530377
166,72.91999816894531,73.4800033569336,0.5600051879882812,1.0,0.5,0.004354907089774052,0.005457884812575094,1.0380830908972773,1.0293407643673897
167,71.61000061035156,71.45999908447266,-0.15000152587890625,1.0,0.5,0.004601715844307264,0.0019682836301306936,1.0510388904215582,1.0467476540749292
168,70.66000366210938,74.26000213623047,3.5999984741210938,1.0,0.6,-0.0003576462548512884,0.0016811568542869273,1.0492160491385356,1.0417217655277764
169,71.0999984741211,74.22000122070312,3.1200027465820312,1.0,0.4,0.004238674882998106,0.0001894981235017167,1.0351714940837784,1.0447078265154663
170,69.95999908447266,68.30999755859375,-1.6500015258789062,1.0,0.3,0.0027758477058000795,0.004676193044759764,1.0575221503224737,1.0413148136724557
171,67.62000274658203,69.13999938964844,1.5199966430664062,1.0,0.6,0.0018168077982992376,0.004460026632269688,1.042184974901837,1.0515486969302044
172,68.18000030517578,71.69000244140625,3.5100021362304688,1.0,0.6,0.0019270357273743907,8.973234320234473e-05,1.0497380459269632,1.0396434491142303
173,69.16999816894531,62.36000061035156,-6.80999755859375,1.0,0.5,0.001245450857467158,0.0005976707909506977,1.0440464127615185,1.0468939047945596
174,68.73999786376953,73.33000183105469,4.590003967285156,1.0,0.6,0.0009220358166779027,0.00010436615178335904,1.0738877320139135,1.0377217004868993
175,72.94000244140625,77.23999786376953,4.299995422363281,1.0,0.2,0.00365736750330932,0.008442267255399098,1.0455288842331434,1.0306381265669122
176,75.5999984741211,77.83000183105469,2.2300033569335938,1.0,0.7,0.0024205750855786096,0.004398017872583783,1.045512284335376,1.0446507908984775
177,71.87000274658203,72.4000015258789,0.529998779296875,1.0,0.7,0.0063450246009280125,0.0016981213895209616,1.0481885762114944,1.0613441572555373
178,67.0,67.81999969482422,0.8199996948242188,1.0,0.4,0.004594528884808682,0.004283102090831104,1.0522956998126711,1.041405743565115
179,75.70999908447266,77.69999694824219,1.9899978637695312,1.0,0.3,0.002695018975101667,0.004151107046726581,1.0400968975251375,1.0354906926260845
180,71.69999694824219,73.62000274658203,1.9200057983398438,1.0,0.6,0.004198769620477434,0.0049309543779618385,1.062662203228292,1.0566238301553903
181,74.23999786376953,77.36000061035156,3.1200027465820312,1.0,0.6,0.003074301233674398,0.0025524264890847215,1.0461462763401865,1.0478749844889472
182,68.19999694824219,65.02999877929688,-3.1699981689453125,1.0,0.7,0.005371038167325611,0.0017858722540885397,1.0477528445945576,1.0546604263904098
183,76.5999984741211,79.08000183105469,2.4800033569335938,1.0,0.6,0.002118294845944882,0.0033197399426087974,1.0553751107831173,1.046918308658778
184,73.5999984741211,76.58000183105469,2.9800033569335938,1.0,0.7,0.004849832965314893,0.003993795036591346,1.0523209378057647,1.0457241088191984
185,74.02999877929688,78.4000015258789,4.370002746582031,1.0,0.5,0.0031744896075471887,-0.000698791904676903,1.037828783328855,1.0582822626912514
186,73.61000061035156,76.2300033569336,2.6200027465820312,1.0,0.6,-0.00022108133358108258,0.003777264163871854,1.0427331958500394,1.0402898543469452
187,69.75,68.69000244140625,-1.05999755859375,1.0,0.6,0.005935270892293445,0.00331615562260102,1.1101252300322662,1.0420663835085089
188,73.58000183105469,76.98999786376953,3.4099960327148438,1.0,0.2,0.0048287759507610346,0.0043639344741158255,1.0561478711656345,1.0522398444152516
189,66.75,71.87999725341797,5.129997253417969,1.0,0.3,0.0014470533445526657,0.0072246576341799965,1.0616489321343419,1.0503149000659306
190,69.47000122070312,69.16999816894531,-0.3000030517578125,1.0,0.1,0.005405571440705302,-0.004762518478771346,1.0507061649438079,1.055607087192542
191,64.7699966430664,63.72999954223633,-1.0399971008300781,1.0,0.6,0.002007725125314631,-0.0004829448174532446,1.0705391517799057,1.0797279327614693
192,72.56999969482422,74.36000061035156,1.7900009155273438,1.0,0.7,0.0003865878072736085,0.0029629610739518625,1.085463738679905,1.075053393887584
