round,layer,baseline_reset_slots,targeted_slots,random_slots,targeted_clients,baseline_random_overlap_slots,replaced_reset_slots,cold_start_count,stale_history_count,no_target_slots_count,no_valid_history_count,targeted_count,before_start_round_count,non_target_layer_count
129,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
129,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
130,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
130,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
130,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
130,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
130,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
130,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
130,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
130,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
130,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
130,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
130,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
130,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
131,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
131,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
131,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
131,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
131,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
131,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
131,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
131,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
131,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
131,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
131,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
131,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
132,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
132,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
132,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
132,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
132,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
132,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
132,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
132,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
132,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
132,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
132,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
132,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
133,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
133,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
133,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
133,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
133,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
133,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
133,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
133,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
133,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
133,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
133,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
133,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
134,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
134,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
134,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
134,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
134,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
134,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
134,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
134,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
134,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
134,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
134,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
134,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
135,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
135,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
135,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
135,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
135,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
135,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
135,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
135,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
135,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
135,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
135,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
135,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
136,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
136,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
136,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
136,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
136,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
136,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
136,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
136,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
136,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
136,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
136,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
136,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
137,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
137,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
137,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
137,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
137,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
137,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
137,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
137,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
137,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
137,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
137,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
137,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
138,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
138,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
138,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
138,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
138,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
138,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
138,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
138,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
138,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
138,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
138,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
138,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
139,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
139,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
139,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
139,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
139,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
139,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
139,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
139,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
139,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
139,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
139,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
139,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
140,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
140,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
140,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
140,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
140,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
140,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
140,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
140,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
140,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
140,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
140,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
140,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
141,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
141,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
141,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
141,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
141,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
141,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
141,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
141,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
141,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
141,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
141,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
141,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
142,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
142,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
142,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
142,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
142,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
142,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
142,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
142,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
142,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
142,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
