round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
64,64.80000305175781,1.0698655040740968,"[14, 22, 8, 93, 29, 90, 73, 28, 57, 58]","[[22, 29], [57, 73]]",12.111387100012507
65,66.02999877929688,1.0147626710891724,"[16, 90, 78, 23, 55, 61, 31, 0, 11, 82]","[[61, 16], [31, 0]]",11.474325499963015
66,66.43000030517578,0.9884817358016967,"[28, 65, 16, 72, 11, 36, 19, 51, 81, 53]","[[53, 51], [28, 53]]",12.488381000002846
67,62.04999923706055,1.1181264709472656,"[53, 63, 96, 28, 78, 90, 58, 73, 34, 4]","[[96, 28], [4, 73]]",10.11559820000548
68,58.290000915527344,1.3222295753479003,"[38, 57, 22, 41, 70, 39, 10, 5, 17, 32]","[[70, 38], [22, 57]]",10.890592300042044
69,69.3499984741211,0.9310235709190369,"[60, 67, 48, 59, 46, 94, 22, 29, 53, 97]","[[67, 60], [46, 94]]",10.050997100013774
70,62.59000015258789,1.1396082935333252,"[61, 33, 76, 48, 37, 54, 38, 13, 8, 39]","[[37, 13], [39, 33]]",10.108910400012974
71,61.400001525878906,1.218937352371216,"[31, 88, 91, 25, 50, 95, 67, 45, 80, 70]","[[45, 91], [95, 80]]",10.163208200014196
72,65.08000183105469,1.026044990158081,"[3, 23, 17, 94, 61, 43, 63, 91, 37, 84]","[[94, 37], [23, 61]]",12.180974099959712
73,66.41000366210938,1.0564693326950074,"[11, 73, 78, 47, 45, 83, 36, 75, 91, 57]","[[91, 47], [83, 73]]",11.023930599971209
74,66.69000244140625,1.0139246646881104,"[46, 54, 66, 62, 96, 49, 24, 75, 60, 52]","[[24, 46], [96, 60]]",10.741592000005767
75,71.66000366210938,0.8801429231643677,"[75, 51, 39, 89, 14, 54, 41, 30, 24, 80]","[[54, 24], [39, 51]]",11.116125400003511
76,62.0,1.1929359809875488,"[67, 90, 45, 78, 32, 86, 50, 55, 33, 60]","[[33, 90], [60, 90]]",11.321439999970607
77,67.20999908447266,1.0159402435302733,"[4, 16, 51, 33, 89, 30, 13, 77, 43, 85]","[[77, 33], [51, 43]]",9.11444220005069
78,65.87999725341797,1.0651943552017211,"[97, 76, 96, 72, 42, 17, 33, 51, 24, 36]","[[42, 72], [97, 72]]",10.729408599960152
79,66.58999633789062,1.0363479297637939,"[22, 47, 61, 27, 50, 96, 89, 97, 85, 30]","[[30, 61], [61, 97]]",10.240983100025915
80,64.58000183105469,1.0668142147064208,"[44, 70, 23, 38, 74, 21, 82, 4, 88, 98]","[[88, 70], [4, 44]]",9.97016500000609
81,66.12000274658203,1.108415566253662,"[90, 72, 65, 50, 85, 56, 4, 80, 31, 17]","[[65, 31], [80, 4]]",13.003037500020582
82,66.1500015258789,1.030324388217926,"[61, 40, 41, 34, 97, 51, 50, 13, 22, 8]","[[51, 41], [40, 22]]",9.650409099995159
83,68.51000213623047,0.9931323350906373,"[87, 54, 63, 83, 96, 26, 0, 59, 69, 14]","[[59, 87], [87, 63]]",9.915723500016611
84,64.93000030517578,1.1612492725372314,"[58, 47, 83, 36, 8, 2, 56, 49, 10, 38]","[[8, 56], [10, 8]]",10.19181580003351
85,67.08999633789062,1.0294190711975097,"[89, 90, 81, 54, 59, 4, 53, 47, 52, 19]","[[89, 90], [90, 54]]",10.362173900008202
86,64.4800033569336,1.1775955005645753,"[24, 13, 81, 73, 19, 55, 40, 76, 57, 96]","[[13, 24], [96, 76]]",10.32174899999518
87,66.06999969482422,1.0969421180725099,"[31, 75, 94, 20, 87, 26, 29, 70, 2, 50]","[[75, 26], [31, 20]]",10.520752599986736
88,69.36000061035156,0.9732070236206055,"[0, 9, 46, 37, 72, 83, 73, 16, 55, 27]","[[73, 0], [55, 37]]",10.567924299975857
89,71.0199966430664,0.8923840021133422,"[80, 29, 9, 50, 26, 81, 48, 82, 37, 15]","[[80, 82], [50, 9]]",11.544425699976273
90,70.11000061035156,0.9148580629348755,"[82, 6, 87, 74, 29, 50, 62, 67, 12, 83]","[[74, 82], [67, 29]]",9.766070499958005
91,68.37000274658203,0.9989101802825928,"[36, 75, 89, 43, 12, 21, 95, 72, 24, 63]","[[43, 24], [63, 75]]",10.504710100009106
92,68.01000213623047,0.998760122680664,"[34, 15, 31, 94, 46, 70, 19, 80, 6, 88]","[[70, 34], [34, 19]]",11.57246120000491
93,66.16000366210938,1.053637905406952,"[70, 92, 72, 77, 23, 53, 1, 12, 97, 93]","[[72, 92], [23, 53]]",11.184866300027352
94,69.55000305175781,0.9877853399276734,"[13, 38, 36, 14, 57, 77, 66, 73, 3, 0]","[[13, 14], [66, 0]]",10.91911540000001
95,69.5999984741211,0.9789161915779114,"[13, 19, 10, 24, 76, 57, 88, 23, 61, 31]","[[61, 19], [76, 13]]",11.256745799968485
96,67.8499984741211,1.0418650691986084,"[18, 45, 94, 24, 56, 67, 10, 14, 13, 9]","[[24, 45], [14, 9]]",10.645009499974549
97,68.66999816894531,1.015646627998352,"[13, 48, 73, 93, 70, 1, 43, 77, 76, 88]","[[76, 73], [77, 1]]",8.980834399990272
98,66.98999786376953,1.0763705174446105,"[21, 45, 83, 68, 75, 65, 96, 1, 77, 73]","[[21, 1], [73, 65]]",10.893699300009757
99,64.9000015258789,1.1601802856445314,"[81, 84, 60, 18, 45, 47, 94, 83, 76, 22]","[[83, 94], [60, 81]]",10.501960800029337
100,63.2599983215332,1.2252566024780274,"[21, 69, 47, 34, 65, 81, 93, 44, 30, 84]","[[21, 69], [81, 93]]",12.941309999965597
101,68.3499984741211,0.9928334354400635,"[22, 38, 77, 15, 11, 61, 37, 34, 87, 3]","[[77, 34], [3, 15]]",10.101533400011249
102,71.91999816894531,0.9125176150321961,"[96, 9, 26, 58, 69, 44, 13, 93, 61, 43]","[[13, 96], [9, 26]]",10.007286500011105
103,70.87000274658203,0.9981261585235596,"[13, 34, 27, 16, 72, 98, 14, 19, 9, 46]","[[27, 13], [34, 14]]",9.764227300009225
104,69.87000274658203,1.0333435451507569,"[29, 72, 81, 80, 68, 85, 14, 0, 93, 52]","[[68, 80], [52, 14]]",12.307986900035758
105,70.44000244140625,0.9110444355964661,"[17, 69, 35, 86, 83, 84, 23, 56, 89, 60]","[[35, 83], [56, 17]]",11.0221193000325
106,66.93000030517578,1.0290567328453064,"[94, 79, 36, 8, 19, 16, 13, 30, 25, 3]","[[19, 36], [79, 8]]",11.325459500018042
107,54.540000915527344,1.4825235980987548,"[45, 82, 32, 52, 17, 96, 6, 57, 67, 74]","[[57, 96], [32, 67]]",11.100104700017255
108,70.30999755859375,0.8856164248466492,"[61, 20, 59, 99, 39, 42, 73, 53, 45, 8]","[[45, 8], [53, 39]]",9.514740700018592
109,71.55000305175781,0.9135732023239136,"[60, 38, 5, 54, 66, 33, 80, 83, 9, 4]","[[83, 80], [80, 38]]",10.691896400006954
110,69.83999633789062,0.9682732656478882,"[39, 44, 62, 4, 42, 25, 0, 45, 29, 93]","[[42, 29], [93, 39]]",10.2910741000087
111,70.44000244140625,0.9631518241882324,"[96, 54, 19, 97, 92, 31, 81, 2, 24, 9]","[[2, 19], [92, 96]]",9.254158199997619
112,70.81999969482422,0.9381565841674805,"[9, 19, 7, 49, 45, 35, 80, 85, 40, 89]","[[19, 9], [89, 40]]",11.633935599995311
113,68.33999633789062,0.9976423948287964,"[73, 66, 18, 74, 33, 2, 87, 29, 98, 91]","[[91, 66], [74, 2]]",9.834640599961858
114,68.69000244140625,1.0465437618255615,"[40, 31, 27, 50, 71, 81, 99, 97, 73, 49]","[[50, 97], [71, 73]]",10.689640700002201
115,63.16999816894531,1.1968057058334352,"[61, 64, 42, 88, 27, 95, 92, 50, 45, 85]","[[95, 50], [50, 27]]",8.826065699977335
116,70.97000122070312,0.915066216468811,"[27, 8, 49, 32, 15, 35, 70, 59, 31, 30]","[[8, 70], [49, 27]]",9.253512900031637
117,65.30999755859375,1.1827915307998658,"[69, 35, 52, 51, 26, 15, 76, 48, 98, 12]","[[76, 26], [52, 26]]",10.004938199999742
118,68.2699966430664,1.0421322872161864,"[46, 57, 0, 86, 26, 80, 73, 20, 63, 98]","[[26, 57], [57, 98]]",12.268420099979267
119,63.22999954223633,1.1771398853302002,"[81, 6, 64, 84, 20, 2, 8, 4, 66, 92]","[[66, 92], [8, 81]]",9.910108799987938
120,69.25,0.9461446577072143,"[61, 34, 64, 11, 96, 18, 82, 52, 72, 92]","[[82, 18], [11, 52]]",10.616597799991723
121,71.56999969482422,0.9061322084426879,"[93, 68, 94, 13, 36, 11, 5, 1, 40, 7]","[[13, 7], [7, 11]]",12.10151649999898
122,69.0199966430664,0.9840066701889038,"[73, 64, 37, 69, 31, 48, 77, 41, 53, 75]","[[48, 37], [53, 69]]",10.251959300017916
123,72.01000213623047,0.9140544764518738,"[46, 43, 84, 11, 66, 92, 16, 19, 96, 37]","[[92, 11], [96, 16]]",9.128153999976348
124,62.04999923706055,1.315724941444397,"[43, 96, 9, 0, 74, 19, 1, 23, 38, 66]","[[96, 19], [74, 38]]",8.796753500006162
125,62.68000030517578,1.3379829454421996,"[27, 62, 32, 10, 22, 72, 64, 25, 86, 60]","[[62, 60], [60, 32]]",10.724061599990819
126,64.29000091552734,1.2228104040145873,"[84, 7, 64, 76, 15, 46, 27, 47, 40, 69]","[[47, 84], [27, 76]]",10.600146499986295
127,71.19999694824219,0.9273343843460083,"[75, 97, 79, 87, 11, 7, 37, 92, 41, 12]","[[11, 97], [79, 75]]",11.660167500027455
128,68.23999786376953,1.033586021232605,"[78, 4, 17, 21, 76, 74, 19, 61, 45, 86]","[[74, 86], [4, 21]]",10.194961300003342
129,71.02999877929688,0.9647629598617554,"[23, 41, 75, 36, 26, 49, 95, 16, 93, 72]","[[75, 16], [36, 41]]",13.014769900008105
130,68.55999755859375,1.0610335302352905,"[59, 53, 65, 8, 68, 35, 13, 55, 23, 97]","[[55, 97], [97, 65]]",11.630295400042087
131,66.27999877929688,1.0652100835800171,"[74, 98, 22, 45, 97, 87, 92, 71, 47, 79]","[[71, 47], [47, 74]]",9.746008999994956
132,74.20999908447266,0.8667352005004882,"[35, 70, 59, 49, 36, 91, 82, 50, 26, 72]","[[50, 49], [49, 82]]",10.873123400029726
133,69.30999755859375,1.0307134801864624,"[22, 83, 75, 29, 66, 48, 12, 10, 86, 1]","[[1, 83], [22, 29]]",10.09190729999682
134,72.97000122070312,0.8832607696533203,"[76, 33, 40, 59, 65, 63, 73, 36, 99, 82]","[[63, 65], [73, 59]]",13.322651499998756
135,66.58000183105469,1.1632002626419067,"[85, 88, 54, 40, 70, 67, 86, 38, 58, 42]","[[88, 54], [58, 85]]",10.767323300009593
136,59.38999938964844,1.4207557025909423,"[89, 56, 12, 90, 94, 86, 19, 78, 92, 59]","[[86, 90], [94, 89]]",10.28930920001585
137,72.11000061035156,0.9493959392547607,"[7, 94, 69, 44, 50, 26, 75, 24, 33, 18]","[[50, 44], [69, 33]]",12.132322799996473
138,73.44999694824219,0.9094071840286255,"[89, 75, 84, 93, 35, 71, 19, 63, 59, 94]","[[94, 63], [89, 63]]",10.906623300048523
139,69.68000030517578,1.043028154373169,"[54, 66, 17, 43, 53, 40, 76, 1, 4, 81]","[[43, 53], [76, 53]]",9.374784799991176
140,71.66999816894531,0.9702309610366822,"[52, 51, 97, 7, 41, 61, 29, 88, 49, 26]","[[29, 97], [88, 26]]",10.742799200001173
141,72.9000015258789,0.9194603479385376,"[21, 47, 20, 59, 85, 2, 99, 70, 54, 50]","[[85, 70], [99, 47]]",10.707086300011724
142,66.69999694824219,1.1837942443847655,"[65, 98, 79, 6, 58, 92, 19, 37, 33, 75]","[[19, 6], [92, 19]]",12.795629500003997
143,61.41999816894531,1.3786120901107788,"[44, 84, 56, 0, 69, 15, 66, 78, 42, 95]","[[95, 66], [42, 66]]",9.991194400005043
144,71.41000366210938,0.9070640604019164,"[36, 20, 53, 26, 80, 67, 25, 37, 39, 10]","[[10, 26], [20, 80]]",12.483186900033616
145,71.69999694824219,0.9475632276535034,"[54, 62, 65, 69, 82, 46, 64, 70, 59, 11]","[[54, 46], [70, 11]]",11.969900400028564
146,61.70000076293945,1.364086141395569,"[78, 89, 64, 25, 85, 9, 57, 41, 97, 45]","[[78, 89], [89, 85]]",10.832199800002854
147,70.73999786376953,0.9868136923789979,"[32, 8, 70, 41, 12, 19, 88, 20, 98, 33]","[[33, 41], [12, 98]]",11.315773300011642
