source_algorithm,seed,round,client_id,client_visit_index,participation_gap,task_id,task_seed,num_reset_kernels,local_update_norm,dispatch_minus_global_norm,input_change_norm,response_change_norm,secant_gain,response_change_ratio,h_norm,input_direction_cosine,response_direction_cosine,response_norm_ratio,response_prediction_nre,predicted_support,realized_support,support_sign_agreement
FedAvg,1,117,98,10,4,,,,0.9659622311592102,0.0,0.8964741826057434,1.0411899089813232,1.161427656459419,0.5094474542670586,1.1621973514556885,-0.03025753042182205,-0.49421543204563145,1.44219446526986,0.8677829549223168,-0.02020317129790783,-0.02011864073574543,1
FedAvg,1,118,80,16,6,,,,2.0118746757507324,0.0,1.1173350811004639,2.0638129711151123,1.847085092039368,0.7598133106072166,1.8505407571792603,-0.02580094586152698,-0.16088559817902826,1.0758130817280398,0.7620669812573417,-0.03512124717235565,-0.05791955441236496,1
FedAvg,1,118,98,11,1,,,,0.8425114750862122,0.0,0.5818377733230591,0.9912217855453491,1.7036050785813805,0.5480985331009758,1.7011688947677612,-0.046351078642179695,-0.3965834609627553,1.4637904564811375,0.8407867939423699,0.031605690717697144,-0.2024131864309311,0
FedAvg,1,119,64,7,4,,,,1.007907509803772,0.0,0.9880121946334839,1.567986249923706,1.5870110292553465,0.6289275390922444,1.5872035026550293,0.02806094544248802,-0.6515912832474537,3.5602035833979455,0.9385579125211414,0.0019494378939270973,-0.05571950227022171,0
FedAvg,1,120,64,8,1,,,,1.1106160879135132,0.0,0.8133882880210876,1.301870346069336,1.6005521166712244,0.6145177459771938,1.598336100578308,-0.04130881612201892,-0.33745605229248316,1.0070090539678493,0.8175416584522992,0.07037737965583801,-0.11894772946834564,0
FedAvg,1,120,96,19,9,,,,0.7933074235916138,0.0,1.4778655767440796,0.9885231256484985,0.6688856829764369,0.6019066653147502,0.6686333417892456,-0.036894438124883404,-0.5025483004677735,0.6547400897197967,0.87057117439014,0.010014519095420837,-0.01656121201813221,0
FedAvg,1,120,18,6,7,,,,1.3204219341278076,0.0,1.3712425231933594,1.884660005569458,1.374417707802026,0.6505286693400151,1.374778151512146,-0.01933048643073706,-0.5428698225688084,1.092392188257953,0.8760506661107773,-0.005944821983575821,-0.027545418590307236,1
FedAvg,1,122,64,9,2,,,,0.8612384796142578,0.0,0.6522128582000732,1.2225711345672607,1.8744971357040459,0.6200108033826498,1.875968337059021,-0.09016327671641791,-0.6164743695122189,1.1736950081813937,0.8968688037497551,0.001996800536289811,-0.029364541172981262,0
FedAvg,1,123,16,18,17,,,,2.0557312965393066,0.0,1.8751720190048218,2.0965418815612793,1.1180530960955908,0.7664561023299081,1.118469476699829,-0.021718398062577436,-0.15223491853759347,0.6684825547560718,0.7688805618806035,-0.0052358293905854225,-0.024565763771533966,1
FedAvg,1,123,96,20,3,,,,0.927047848701477,0.0,0.7225828170776367,1.0241659879684448,1.4173683123397434,0.5953223758268961,1.4202821254730225,-0.08241263847179738,-0.39872504590962654,2.1242271517476468,0.8577053779455723,0.0014608089113608003,-0.0755748599767685,0
FedAvg,1,124,96,21,1,,,,0.7198623418807983,0.0,0.4885932505130768,1.0304795503616333,2.1090744689522567,0.6257047629274035,2.1088287830352783,-0.02047820891958896,-0.6104885440134472,1.4848193721661527,0.8993575154930185,0.10969927161931992,-0.21726730465888977,0
