stage,start_round,end_round,n_events,unique_targets,unique_donors,metric,count_finite,mean,std,sem,ci95_low,ci95_high
rounds_1_150,1,150,10,10,9,norm_WBA_minus_WA_conv,10,2.506231972476473,0.6217556988020428,0.19661641564040797,2.120863797821273,2.8916001471316726
rounds_1_150,1,150,10,10,9,recovery_pull_score_conv,10,-0.17009287068187645,0.0702231063651628,0.022206496048618223,-0.21361760293716817,-0.12656813842658474
rounds_1_150,1,150,10,10,9,cos_WBA_minus_WB__WA_minus_Wt_conv,10,0.05187281225010844,0.04491563463123499,0.01420357079866396,0.024033813484727076,0.0797118110154898
rounds_1_150,1,150,10,10,9,cos_WBA_minus_WB__WB_minus_Wt_conv,10,-0.011339979152154695,0.013940035803439534,0.00440822638031642,-0.01998010285757488,-0.0026998554467345115
rounds_1_150,1,150,10,10,9,cos_WBA_minus_Wt__WA_minus_Wt_conv,10,0.04709229458916895,0.03575292569136109,0.011306067819945129,0.024932401662076498,0.0692521875162614
rounds_1_150,1,150,10,10,9,cos_WBA_minus_Wt__WB_minus_Wt_conv,10,0.7381739430795096,0.12794325817256694,0.04045921070882638,0.6588738900902098,0.8174739960688093
rounds_1_150,1,150,10,10,9,norm_WA_minus_Wt_classifier,10,0.6634700812804141,0.2356988206323014,0.07453451150135605,0.5173824387377562,0.8095577238230719
rounds_1_150,1,150,10,10,9,norm_WB_minus_Wt_classifier,10,0.6523653718528346,0.17738932418991146,0.05609542970381233,0.5424183296333625,0.7623124140723068
rounds_1_150,1,150,10,10,9,norm_WBA_minus_WB_classifier,10,0.7415643829253529,0.24014796559589063,0.07594145467387695,0.592719131764554,0.8904096340861517
rounds_1_150,1,150,10,10,9,norm_WB_minus_WA_classifier,10,0.9034467086108794,0.2625394872625232,0.08302227554823378,0.7407230485363412,1.0661703686854176
rounds_1_150,1,150,10,10,9,norm_WBA_minus_WA_classifier,10,0.7797676928224874,0.25856122381240476,0.08176423818477639,0.6195097859803256,0.9400255996646492
rounds_1_150,1,150,10,10,9,recovery_pull_score_classifier,10,0.14370487367932297,0.08496486313401976,0.026868248858797458,0.09104310591607995,0.196366641442566
rounds_1_150,1,150,10,10,9,cos_WBA_minus_WB__WA_minus_Wt_classifier,10,0.5581434774016365,0.0741502616193805,0.023448371581460774,0.5121846691019734,0.6041022857012996
rounds_1_150,1,150,10,10,9,cos_WBA_minus_WB__WB_minus_Wt_classifier,10,-0.20253563104873154,0.15490252341732333,0.04898447893063108,-0.29854520975276844,-0.10652605234469463
rounds_1_150,1,150,10,10,9,cos_WBA_minus_Wt__WA_minus_Wt_classifier,10,0.5426677247436139,0.12630461590403072,0.03994102652494641,0.46438331275471895,0.6209521367325088
rounds_1_150,1,150,10,10,9,cos_WBA_minus_Wt__WB_minus_Wt_classifier,10,0.5523088672949161,0.21837555404124476,0.06905641360715209,0.41695829662489803,0.6876594379649342
rounds_151_300,151,300,0,0,0,norm_WA_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WB_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WBA_minus_WB_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WB_minus_WA_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WBA_minus_WA_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,recovery_pull_score_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_WB__WA_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_WB__WB_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_Wt__WA_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_Wt__WB_minus_Wt_all,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WA_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WB_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WBA_minus_WB_conv,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WB_minus_WA_conv,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,norm_WBA_minus_WA_conv,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,recovery_pull_score_conv,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_WB__WA_minus_Wt_conv,0,nan,nan,nan,nan,nan
rounds_151_300,151,300,0,0,0,cos_WBA_minus_WB__WB_minus_Wt_conv,0,nan,nan,nan,nan,nan
