stage,scope,metric,count,mean,std,median,min,q05,q25,q75,q95,max,sem,ci95_low,ci95_high,negative_fraction,zero_fraction,positive_fraction
rounds_1_150,classifier,cos_q_a,750,-0.17093828597002883,0.24377123086522498,-0.16320613561377995,-0.8321622543731064,-0.5728991473910249,-0.3436944976008013,0.006976889023032174,0.21544029486923807,0.4127271369052171,0.008901266801045554,-0.1883847689000781,-0.15349180303997956,0.7413333333333333,0.0,0.25866666666666666
rounds_151_300,all,response_change_ratio,750,1.9606796862150895,1.3327718916185212,1.7013541946246558,0.10461699824916866,0.6954440639787594,1.2758976132521076,2.276032018731262,3.728296168798457,16.68718002825876,0.04866594860321963,1.865294426952779,2.0560649454774,0.0,0.0,1.0
rounds_151_300,all,cancellation_coefficient,750,0.15364025328188577,0.07377084992227427,0.1482473913177109,0.0022570814016554114,0.04411426437114176,0.10398880590722374,0.1963303658670362,0.2833449494228861,0.4737794458134018,0.0026937305725838563,0.1483605413596214,0.15891996520415014,0.0,0.0,1.0
rounds_151_300,all,survival_ratio,750,2.178101033988777,1.2525432410937123,1.894989018324821,1.003210124238845,1.1654072314719681,1.535815446295041,2.4113724154884757,3.8111469364343677,16.706148809685043,0.0457364124931772,2.08845766550215,2.267744402475404,0.0,0.0,1.0
rounds_151_300,all,survival_cosine,750,0.46203762406239535,0.18096898225252295,0.4420282505289699,0.04888711357618625,0.2000402318012765,0.33327971465909767,0.5672727787713707,0.8048059073187261,0.994550288610127,0.006608052919230592,0.44908584034070337,0.4749894077840873,0.0,0.0,1.0
rounds_151_300,all,response_cosine,750,-0.08636539880220936,0.03474792910096843,-0.08140776086828908,-0.25554149200656456,-0.14560264020670485,-0.10472828263620336,-0.06441485151132625,-0.037901822816383,-0.007118977262224741,0.0012688149730127078,-0.08885227614931428,-0.08387852145510445,1.0,0.0,0.0
rounds_151_300,all,cos_q_a,750,-0.41131780150473213,0.1898157731473924,-0.4161284506759269,-0.9442657152402408,-0.736053154356013,-0.5335254079361604,-0.27621920791839466,-0.12038282165369468,0.11645059843517169,0.006931092048207346,-0.4249027419192185,-0.39773286109024575,0.9893333333333333,0.0,0.010666666666666666
rounds_151_300,conv,response_change_ratio,750,1.964369646776339,1.3451421675184798,1.7084679486128196,0.09698667024999791,0.6803453203031694,1.2613755891569565,2.2829508401058374,3.751604987250984,16.574617968491275,0.049117647213417624,1.8680990582380403,2.0606402353146374,0.0,0.0,1.0
rounds_151_300,conv,cancellation_coefficient,750,0.12938466541701263,0.058616355298141055,0.1260917730765898,-0.0008865412544948521,0.03926140587067314,0.0885373714040861,0.16464232923118263,0.22907120127467703,0.38315085875943206,0.0021403666690352876,0.12518954674570346,0.1335797840883218,0.0013333333333333333,0.0,0.9986666666666667
rounds_151_300,conv,survival_ratio,750,2.1948309105562434,1.2616708673768724,1.9082318839994614,1.003672720928184,1.1649606670034245,1.5430172092701675,2.4346492328787823,3.837702392152629,16.594226240272683,0.04606970628062812,2.104534286246212,2.2851275348662745,0.0,0.0,1.0
rounds_151_300,conv,survival_cosine,750,0.47170663738914814,0.18116581144607274,0.4518583820630081,0.04972764960132429,0.20611380323511966,0.3450720489671978,0.5804914082038077,0.8147730216471833,0.9953207230823015,0.006615240105182777,0.4587407667829899,0.48467250799530637,0.0,0.0,1.0
rounds_151_300,conv,response_cosine,750,-0.07236627524158883,0.0253213412626937,-0.07107943966957847,-0.17362430743640345,-0.11522455435054112,-0.08646638998800962,-0.05616410066959519,-0.03204550575301689,0.0038600272660097054,0.000924604653057579,-0.07417850036158168,-0.07055405012159598,0.9986666666666667,0.0,0.0013333333333333333
rounds_151_300,conv,cos_q_a,750,-0.42499170235731837,0.1921220703846788,-0.43730377747688787,-0.9448478874966532,-0.7568512558259253,-0.5528261937921293,-0.2897199332565015,-0.125385840544429,0.10883235466569241,0.007015306116285587,-0.4387417023452381,-0.4112417023693986,0.992,0.0,0.008
rounds_151_300,classifier,response_change_ratio,750,1.8562327873608924,1.1903684447719503,1.7012004746336387,0.2144952030761602,0.9050397897675976,1.3120461882444363,2.0647375501742786,3.08650017327285,20.86119272766724,0.04346610992959598,1.7710392118988842,1.9414263628229005,0.0,0.0,1.0
rounds_151_300,classifier,cancellation_coefficient,750,0.7454545125572528,0.3589943766246549,0.6983205071069452,0.03480560439150759,0.21284341927697076,0.5048077182050804,0.9664600783417117,1.3729289420883528,2.241720579072725,0.013108621206321919,0.7197616149928618,0.7711474101216438,0.0,0.0,1.0
rounds_151_300,classifier,survival_ratio,750,1.7410197299299421,1.1577635282476941,1.5198972123511991,0.7514287086219401,0.9896387189241505,1.2807836104854502,1.8434024825559463,2.918880391110288,20.859617456230236,0.042275546711868776,1.6581596583746794,1.823879801485205,0.0,0.0,1.0
rounds_151_300,classifier,survival_cosine,750,0.19658478164242016,0.25904949055289167,0.18280297638315368,-0.4743991624938053,-0.20362842772854398,0.020000360043811137,0.35417366752969165,0.6324085478807608,0.9767908372668258,0.009459149965736012,0.17804484770957757,0.21512471557526275,0.22533333333333333,0.0,0.7746666666666666
rounds_151_300,classifier,response_cosine,750,-0.42177843472735155,0.1483512237323449,-0.43256528511272535,-0.7219529415392977,-0.6424410872113934,-0.5433819431801554,-0.3174233687654361,-0.15844498116950964,-0.025543150494044174,0.005417020778113403,-0.4323957954524538,-0.41116107400224927,1.0,0.0,0.0
rounds_151_300,classifier,cos_q_a,750,-0.1399654509736845,0.2871595592326974,-0.11403740399886847,-0.9403862656504142,-0.6560678190422174,-0.33557862098229063,0.07210547531665534,0.27122031265730445,0.5912728510388789,0.010485584546332617,-0.16051719668449643,-0.11941370526287258,0.648,0.0,0.352
rounds_301_500,all,response_change_ratio,1000,2.5726632052059513,2.809854701534968,2.0257170199087935,0.1275275922748759,0.8149776448766483,1.4773429184459925,2.9223024662755663,5.589069581831226,53.08591204137776,0.08885540750983119,2.398506606486682,2.7468198039252205,0.0,0.0,1.0
rounds_301_500,all,cancellation_coefficient,1000,0.1678281459206135,0.12408596510483672,0.14255060426855398,-1.033376400297101,0.045977150211365524,0.09593269308828281,0.2117937789352627,0.3634177693644447,1.4408767024533073,0.003923942753914582,0.1601372181229409,0.17551907371828607,0.001,0.0,0.999
rounds_301_500,all,survival_ratio,1000,2.7576078420263683,2.7519993323638765,2.1764549153394794,1.0026418736865539,1.2360932990234819,1.7117801221384368,3.006335606889631,5.5457683656430765,53.09123871270486,0.08702586009532581,2.58703715623953,2.928178527813207,0.0,0.0,1.0
rounds_301_500,all,survival_cosine,1000,0.4015929508601622,0.19138511238438044,0.380965130170268,-0.09409519617126552,0.11946325210706854,0.2609855322220296,0.5193711341781431,0.752069915444608,0.9918932634226915,0.006052128653819409,0.3897307786986762,0.4134551230216483,0.002,0.0,0.998
rounds_301_500,all,response_cosine,1000,-0.07550514283798447,0.037556726452681446,-0.06965224984448559,-0.29513379793622285,-0.1417029176073878,-0.09270287730003762,-0.050643747675971656,-0.029851840970817573,0.025171833827103755,0.0011876479705036937,-0.0778329328601717,-0.07317735281579724,0.999,0.0,0.001
rounds_301_500,all,cos_q_a,1000,-0.283669271103968,0.26048960396073595,-0.24955406291242133,-0.9888547845679195,-0.7705211311706573,-0.44249916761839925,-0.09766705292344505,0.09186194517321394,0.7915281588656214,0.008237404553111439,-0.29981458402806643,-0.26752395817986957,0.88,0.0,0.12
rounds_301_500,conv,response_change_ratio,1000,2.579823897394511,2.8151048994999908,2.0283332261183413,0.0990072196566697,0.8137441176657366,1.474490774712494,2.93077860601341,5.645569641782798,52.60879796885772,0.08902143334719372,2.405341888034011,2.7543059067550106,0.0,0.0,1.0
