donor_client_id,dominant_class,event_count,unique_target_client_id_count,response_change_ratio_all_mean,response_change_ratio_all_std,cancellation_coefficient_all_mean,cancellation_coefficient_all_std,survival_ratio_all_mean,survival_ratio_all_std,survival_cosine_all_mean,survival_cosine_all_std,response_cosine_all_mean,response_cosine_all_std,cos_q_a_all_mean,cos_q_a_all_std,response_change_ratio_conv_mean,response_change_ratio_conv_std,cancellation_coefficient_conv_mean,cancellation_coefficient_conv_std,survival_ratio_conv_mean,survival_ratio_conv_std,survival_cosine_conv_mean,survival_cosine_conv_std,response_cosine_conv_mean,response_cosine_conv_std,cos_q_a_conv_mean,cos_q_a_conv_std,response_change_ratio_classifier_mean,response_change_ratio_classifier_std,cancellation_coefficient_classifier_mean,cancellation_coefficient_classifier_std,survival_ratio_classifier_mean,survival_ratio_classifier_std,survival_cosine_classifier_mean,survival_cosine_classifier_std,response_cosine_classifier_mean,response_cosine_classifier_std,cos_q_a_classifier_mean,cos_q_a_classifier_std
41,1,17,15,1.666932708074312,0.5957531588032914,0.10572058761512741,0.04639316746679672,1.906584703968186,0.5318270027503416,0.4969238948671335,0.11993548313845628,-0.0663655623007225,0.02897166727970093,-0.3511983532162577,0.22343920335027934,1.6724178924320885,0.5981612777678457,0.09134064276544963,0.039091648563102516,1.9197038329554383,0.5314125269350877,0.501538286650261,0.12049854471989245,-0.05650794799062758,0.022912083356965023,-0.3640088768585978,0.22572305364870499,1.4530614888163758,0.4878107923617786,0.48761267212205,0.27195756617767913,1.4708940617494446,0.4570360341154578,0.3668801484687563,0.21703525502571896,-0.3493828162808556,0.16869022552737328,-0.17725860044154076,0.3453300546411592
42,9,29,28,1.5476912051269418,0.7802741428956366,0.10351136767075057,0.07009888706031527,1.8318788262444388,0.659842791553977,0.5493301422468161,0.1866012092745658,-0.06761553051152436,0.02584593014654533,-0.33343569615989727,0.2529156199758731,1.5508305687098225,0.7891676334456911,0.0950541595427295,0.06678642322824122,1.8401981504846694,0.6673105565976574,0.5523529567402319,0.1871104451781391,-0.06124924039787736,0.024221721037495925,-0.34179938144393823,0.25595573923920206,1.4766085099302722,0.5795736801434251,0.4273802233744432,0.2089698096108121,1.5536592511510805,0.49447874170861594,0.41641681543716624,0.2001624117799801,-0.29735704034432764,0.1197877550905053,-0.1639339939848024,0.33115583773463764
43,9,25,21,1.6004491785557393,0.4648859636513697,0.1445921783210781,0.050901356283758435,1.8266231155439414,0.3861878467609314,0.49267877736176935,0.12828449599128322,-0.09255706749002515,0.029069121826174858,-0.5154272990614757,0.16546096001054464,1.6113368705346858,0.4854952317615394,0.11791056955644738,0.037333878244638484,1.8516341394256428,0.40609135364330357,0.5019620050799525,0.12855933480958748,-0.07576754333037178,0.021751631209330706,-0.5319306713769446,0.16902751340480546,1.516914823016905,0.3847007182626276,0.6278382615253129,0.19477581654318757,1.436483661885667,0.3593159049086366,0.2771094454485695,0.16629656742506443,-0.4224625819721819,0.1219630534539078,-0.2765287187595566,0.2592844894222289
44,2,32,27,1.9814808204040837,0.8225643896692636,0.15824406130708296,0.08580539557632366,2.185557551685628,0.7101726109243663,0.4405528268940401,0.1821564947541359,-0.07868768631510047,0.02195781609995016,-0.37553735109444697,0.19179161688036875,1.984481081494722,0.8282895810679374,0.13645570914839256,0.07988031813944815,2.1993963484237025,0.7130370038055907,0.44813222840996747,0.18275321512439183,-0.06612093522208873,0.02043522605482758,-0.3888652066981294,0.19781886961024078,1.8882245261774981,0.696425229143919,0.8159801962004349,0.41370661444901147,1.7517012605758082,0.5879001531167798,0.16925649257377157,0.26042937114878006,-0.4298493530340577,0.12046516479245682,-0.08932826395615895,0.22274758448249796
45,1,32,24,2.94863632127542,1.7498777970590442,0.2075040324955129,0.09597271894512817,3.0747066024530794,1.6976674527020499,0.31818349144398184,0.12905370639161579,-0.08077212137149475,0.04017938244662501,-0.41474585973771094,0.26843205813294424,2.9851571648982853,1.773360583409772,0.17534921692966382,0.09238049133182227,3.1229680095469794,1.7164308631070098,0.32594372056366616,0.13234516486917652,-0.06596716543324785,0.036310114912065934,-0.426915425796569,0.2702281716193938,2.141339158356499,1.195340624930657,0.8124545478413805,0.408940897795188,2.0161717878399505,1.1493228748311533,0.16576104322766388,0.27007534417254714,-0.40873157369945506,0.14350182424595861,-0.15575872361890092,0.3481444910853053
46,0,32,27,2.3273525567489624,1.8197558143264343,0.21780666840791818,0.0833176838466388,2.4861628445203054,1.762103550825073,0.39968508740324793,0.15364651954713016,-0.11285087066624414,0.0424120079929616,-0.3735562584544734,0.2810308659318056,2.335155679609887,1.8391936036485252,0.1750935209593521,0.07230533916071027,2.5167923593029884,1.7730446357985519,0.4167165253047654,0.15909219950339393,-0.08798347704360131,0.027870737460869655,-0.3908758922998547,0.28808119726916814,2.120470694582227,1.3293057134698207,0.9226685325318134,0.40973819079643464,1.9149664637436965,1.323064125567189,0.10704304232194159,0.2657251426804709,-0.48807422942041734,0.16148617862268907,-0.14101269397742747,0.315533866278864
47,3,26,24,2.015932964659814,0.843586155444593,0.142201168232625,0.05908074607331047,2.2177281846255803,0.75322857378121,0.4350042051968016,0.16496906517265025,-0.07403520931041332,0.024129723219745425,-0.2655000013966454,0.26139291128960257,2.0268554612709337,0.8599081465445241,0.12681995099856852,0.05518997761940968,2.236109885383129,0.7667661887383728,0.43996053078348435,0.16669609908659197,-0.06519121347106092,0.021432123424926126,-0.27504302598514446,0.2664169882214204,1.639539046905465,0.4826853811362061,0.6404203157017888,0.2523531941753888,1.572691031469219,0.4052547033335801,0.2609482235104274,0.20652717982858365,-0.3907760395205164,0.10568609562763036,-0.04918713453766795,0.27590346782828506
48,3,27,24,1.516649841735055,0.5714810234986047,0.1408555599218022,0.04578545660709125,1.7596806779038014,0.49561236371545503,0.5224424467683627,0.13251657641284117,-0.09617633887205582,0.021833446191071578,-0.41905889545568936,0.21391305376594066,1.5134697797879766,0.5779105468409057,0.11150675459347469,0.04479886972315575,1.7755202941638475,0.49580273899807087,0.5353210376763633,0.13547982355878563,-0.07460896398008482,0.017523478337035492,-0.441456147487047,0.22430219730309248,1.606218144410467,0.6066951137038038,0.7588142283958534,0.27861507689183607,1.4543939380610875,0.5595434143031064,0.21521122664571773,0.19280132434714958,-0.48524759884634533,0.1048726163328001,-0.06126748975437338,0.24029601867339806
49,8,29,26,2.4306712575446805,1.1601720628751324,0.18437467415031256,0.06862190913806876,2.5849848047748796,1.0946088706933714,0.365254472148015,0.14197939692044317,-0.07993296801639105,0.01990035747033405,-0.2881888816748298,0.23252629500129982,2.4449209550616784,1.1774967171261361,0.1659031252822571,0.06407588272487891,2.606603000233469,1.110246051242811,0.37058757130743186,0.14292823687258174,-0.07126564921521249,0.018092547513818415,-0.29574897143330187,0.23544873612571504,1.9419135275310249,0.7467979333404604,0.7503790289805756,0.2763806048105573,1.8222161714423784,0.7111346906139013,0.17183679072804697,0.19702632278171703,-0.3981947136614687,0.11398839321452396,-0.06362470810922222,0.26908748260921017
50,5,21,19,1.5810854974621291,1.1519156012435128,0.07310653131328218,0.03757630089792913,1.8954215500452654,1.0372823911902556,0.5760698999455831,0.20070535708333168,-0.05174395474766765,0.01932146940411036,-0.38024168356740795,0.2934605020932152,1.5810953272281938,1.1425078429750253,0.06748546260339462,0.03395211657207327,1.8985998622026696,1.0264232783438167,0.5777636106610107,0.20065174822142529,-0.04772111467095378,0.017035896836634968,-0.39097273954568396,0.2987462681820866,1.5719715757959272,1.653058661548346,0.2928128595404137,0.17206944722047912,1.7520399096102874,1.5934927868389763,0.5127353443005619,0.21368230963899842,-0.23389868512845524,0.13466233293923202,-0.09816132588923895,0.32230272454658565
