round,stage,target_client_id,donor_client_id,target_local_seed,target_num_samples,donor_num_samples,target_dominant_class,donor_dominant_class,target_donor_label_cosine,norm_a_all,norm_b_all,norm_s_all,norm_q_all,norm_e_all,dot_a_b_all,dot_s_a_all,dot_s_b_all,dot_q_b_all,dot_q_a_all,response_change_ratio_all,cancellation_coefficient_all,survival_ratio_all,survival_cosine_all,response_cosine_all,cos_q_a_all,e_identity_abs_error_all,e_identity_relative_error_all,norm_a_conv,norm_b_conv,norm_s_conv,norm_q_conv,norm_e_conv,dot_a_b_conv,dot_s_a_conv,dot_s_b_conv,dot_q_b_conv,dot_q_a_conv,response_change_ratio_conv,cancellation_coefficient_conv,survival_ratio_conv,survival_cosine_conv,response_cosine_conv,cos_q_a_conv,e_identity_abs_error_conv,e_identity_relative_error_conv,norm_a_classifier,norm_b_classifier,norm_s_classifier,norm_q_classifier,norm_e_classifier,dot_a_b_classifier,dot_s_a_classifier,dot_s_b_classifier,dot_q_b_classifier,dot_q_a_classifier,response_change_ratio_classifier,cancellation_coefficient_classifier,survival_ratio_classifier,survival_cosine_classifier,response_cosine_classifier,cos_q_a_classifier,e_identity_abs_error_classifier,e_identity_relative_error_classifier
3,rounds_1_150,27,95,10326964,244,502,3,2,0.5867026462408974,1.2769971629250636,2.651096431707871,0.9328503388939124,1.481646432486009,2.965826986052704,0.04505913368253722,0.1528276789973153,-0.1686702306413293,-0.21372936432386652,-1.477894075121346,0.5588806256781512,0.030409770581971755,1.1187171279703618,0.8666982968045839,-0.05441192480965366,-0.7811038816046411,1.266526439280824e-09,6.865692498390504e-11,1.121958504963097,2.3667746533259195,0.6909060055093588,1.306108002551439,2.6794662735266086,0.0077643721300515445,0.015111940489507852,-0.05623605920864441,-0.06400043133869596,-1.2436789463695197,0.5518514408272988,0.011425338655907285,1.1321171915379769,0.8732087709057027,-0.020703649226283042,-0.8486964722661682,3.1097435737592605e-10,2.1277635255420385e-11,0.6094583078668949,1.1935757145645538,0.6266180617356688,0.6990540490904757,1.270352862467511,0.037312913932541325,0.137706530385778,-0.11243866297487158,-0.14975157690741292,-0.2337328986422009,0.5856805232883848,0.10511663670822347,1.0643253268025543,0.8407987114054541,-0.17947777419339722,-0.5486117284349025,9.538501100081476e-10,2.492683673792217e-10
3,rounds_1_150,71,96,10370832,547,181,6,9,0.3906887231345413,1.4691939003090135,1.0268013269420009,1.3340877656669208,1.7588665798764223,1.972962759329234,0.15967359437210793,0.422354618700593,0.031998313678956655,-0.12767528069315126,-1.7361760980046186,1.7129570577344728,0.12109716578761004,1.9214649490228768,0.45741288939948593,-0.07069480536060317,-0.6718646005056782,2.7029090077235196e-10,3.258139971449178e-11,1.3119514797132412,0.913145364247547,1.225379292700249,1.6931399943628043,1.9060971777831972,0.03542695446742816,0.1780240277947244,0.0017514315565079208,-0.03367552291092024,-1.5431926573270387,1.8541845150339136,0.04038634126790448,2.087397310891312,0.4597177804748362,-0.021781187870165017,-0.6947195269301142,2.1724799736944078e-10,2.9353414661630204e-11,0.660787233499455,0.4692362958455909,0.5268687973924441,0.47526665408325375,0.5080240177443286,0.12420492943648173,0.24417605256906622,0.030218583800928504,-0.09398634563555322,-0.19246371538679707,1.0128514317648762,0.4268561747314361,1.0826613845564526,0.5293841947668346,-0.42144006647415855,-0.6128439137229511,5.381428636042074e-11,6.032165448014056e-11
3,rounds_1_150,99,67,10398748,533,311,1,0,0.2684840907445668,1.3298065247158846,1.4056850179256557,1.2500175109388392,1.6565599668244604,2.1043993101154115,0.02133523644669033,0.29336912357260614,-0.12448718188081319,-0.14582241832750353,-1.4750162696043323,1.1784716673362687,0.07379862397834362,1.4970631992797618,0.6186788750583493,-0.06262231500664979,-0.6695780209026128,2.368807372477022e-10,2.509254729191897e-11,1.2244872935810345,1.301161494410458,1.067273037253731,1.5769352217885038,2.0242886161596854,0.012734801242720195,0.07585808723652641,-0.02826596195839566,-0.041000763201115856,-1.42351104490488,1.211944273299446,0.02421751267186069,1.5557550887077767,0.6272082890235844,-0.019982364870564512,-0.7372125244422072,3.37687211526827e-10,4.0395662480082975e-11,0.5180544830109743,0.531319534350254,0.6503787303715791,0.5064719517682156,0.573809116974578,0.008574076207524706,0.21742955117980467,-0.09620461523423042,-0.10477869144175513,-0.050950896187963224,0.9532342009363078,0.37116020303601044,1.0799699237037919,0.5822752867110995,-0.3893693728901469,-0.19418737533343844,9.657874500135222e-11,8.96215519798895e-11
3,rounds_1_150,67,27,10366844,311,244,0,3,0.2704526102239091,1.4056850179256557,1.2769971629250636,1.3837177527141538,1.7875211583667818,2.1514092478215097,0.07203721135207153,0.3476966485940188,-0.026658735562761816,-0.09869594691483334,-1.6282537210266324,1.3997847530626633,0.060522861527762276,1.684740820326911,0.5576389716074781,-0.04323726301157452,-0.6480117371931206,2.8600144474921763e-10,2.963159882512438e-11,1.301161494410458,1.121958504963097,1.2834994051639512,1.7372610009310165,2.054290516077633,0.021411937845136064,0.16115808611841784,-0.006966636019549736,-0.0283785738646858,-1.5318631484180383,1.548418228701032,0.022544311498391013,1.830986179070145,0.5338411068717099,-0.014559575107368399,-0.6776784813837803,3.89857035543173e-11,4.557741279120285e-12,0.531319534350254,0.6094583078668949,0.5163603856801964,0.4196855312749607,0.6379375963455449,0.0506051345214833,0.18639627516021298,-0.019700364032492163,-0.07030549855397546,-0.09590417242195778,0.688620576432637,0.18927850157953924,1.0467288543138047,0.774528661438247,-0.27486617167335703,-0.43008839241534647,2.5044255558270834e-10,2.286831799281189e-10
3,rounds_1_150,52,80,10351889,633,812,2,7,0.136045201946766,1.9214715068347736,2.6174205484631803,1.5498529631284053,2.3296914846648367,3.4534193388710364,0.10269206847486334,0.3333172725879709,-0.07343173787682956,-0.1761238063516929,-3.3587354789899244,0.8900715194708455,0.02570816316300872,1.3193979625852303,0.7384366691971863,-0.028883255559387436,-0.7503146752072823,1.5547048093367266e-09,6.331080569206905e-11,1.8037004520151012,2.460855845009525,1.3794825468392604,2.23436523374563,3.304905905636805,0.046802223459530445,0.08195970993122483,-0.01609599785344556,-0.06289822131297601,-3.171375610668256,0.9079626660280792,0.010386423259326462,1.3429904528292322,0.7368731286628942,-0.011439262480650563,-0.7869173171115752,5.027445126870589e-11,2.2752327799934104e-12,0.6613648362887474,0.8901637824813677,0.7058468921143234,0.6582321842746945,0.9997120712754108,0.05565890210518187,0.25117683668582774,-0.0574595699453446,-0.11311847205052647,-0.18622660999341395,0.7394506463067342,0.14275577607325765,1.1230653178100245,0.7633075390471207,-0.19305653025832992,-0.42778103197342165,1.4982538543151236e-09,6.112023014382693e-10
4,rounds_1_150,5,32,10405033,407,318,9,1,0.101524877775989,1.9927634906379144,1.4779541822965216,1.875634961341314,2.5465886237694066,2.8735216881539056,0.0468495555106303,0.5019996095567382,-0.15931809011850495,-0.20616764562913525,-3.469106720062667,1.7230497766936086,0.09438404151041539,1.9442562716584888,0.4657904267512412,-0.05477731565685272,-0.6836016584808166,1.3040057922353299e-10,7.520684470485132e-12,1.867478894993916,1.3743012774433576,1.6972737343693831,2.457809252899991,2.801838725108126,0.013022171172826003,0.16369461449353853,-0.026592870289929127,-0.03961504146275513,-3.323782808754159,1.7884064384137854,0.020974722051710425,2.038736899321266,0.48021168316236656,-0.011728162905918526,-0.7241503750696721,3.822169247769125e-10,2.4100855229067025e-11,0.694439305613024,0.5430683689193894,0.797573156355569,0.6648425513247441,0.6355833461074332,0.033783036964154134,0.3381766354336445,-0.13270330391919075,-0.16648634088334488,-0.1440693137466545,1.2242336128831512,0.5645073388033942,1.1703560407543756,0.3721027157820287,-0.46111079851331804,-0.3120458318719236,2.4305002455093927e-10,1.64905146106697e-10
4,rounds_1_150,55,10,10454883,508,512,3,3,0.8566285262391028,1.8802653330966623,2.169008767057696,1.6758256147991466,2.35446242747185,3.112678056395163,0.1601572488226739,0.4001479458427015,-0.11950658685223602,-0.27966383567490993,-3.135249777002401,1.0855015725297072,0.059444776015565054,1.435069375315423,0.655407494691819,-0.05476249645316678,-0.7082086751982773,1.6400747426814632e-10,8.001853837881486e-12,1.746343041987555,2.028524375054696,1.5288576041482986,2.261078735513982,2.997287773065339,0.07517501581281882,0.13732127293345675,-0.04665208101257436,-0.1218270968253932,-2.9123927473648905,1.114642132635461,0.029606252158275538,1.47757049899118,0.6567495415645254,-0.026561217534702808,-0.7375724679837787,1.6678924907864712e-10,9.037727993827601e-12,0.6961144405793507,0.7669100137839151,0.6856883282864626,0.6552397409489606,0.8378269227918101,0.08489033274055441,0.26270233990626257,-0.07287773481513829,-0.1577680675556927,-0.2218729744768398,0.854389340564252,0.26824416826008085,1.0924709649545359,0.6698171898512394,-0.3139601063877133,-0.4864335627874428,3.0527336214447587e-10,1.5001294159556753e-10
4,rounds_1_150,96,25,10495760,181,675,9,7,0.2152925537243277,0.9677049219093204,2.1107449903075213,1.2896195671238335,1.4914097225109084,2.493782404009962,0.07635255255426943,0.18763424169806173,-0.15394579531913175,-0.23029834787340117,-0.7488185741894622,0.7065797760314096,0.051691518235031465,1.1814702465060143,0.8026511751518247,-0.07315737017745272,-0.5188438681826273,2.1185631027265117e-10,1.5858582804916794e-11,0.8649143807521088,1.9987664463870485,1.1461052703230898,1.4014014579716587,2.4079885505036067,0.04051753143924408,0.04885406514453787,-0.0397747156557414,-0.08029224709498547,-0.6992228208872661,0.7011331716643627,0.020097845898672726,1.2047373292944077,0.8133741109153129,-0.02866480536210274,-0.5768725993612346,6.136957608759985e-11,5.14932409269767e-12,0.433697107563613,0.6771468701941642,0.5907734287638886,0.5095122008475561,0.6467474342114693,0.03579467378758211,0.13875187121498261,-0.11412948761800824,-0.14992416140559034,-0.04934130989406149,0.75243971917268,0.3269684717069191,0.9551065842274687,0.7046664104378023,-0.4345444071804534,-0.22329014766159408,1.55973012283539e-10,1.085965557998927e-10
4,rounds_1_150,25,66,10424973,675,490,7,9,0.4039332939540289,2.1107449903075213,1.614159574965802,2.128654490587248,2.7954417788748627,3.1695183500374378,0.15522869734906397,0.5859598076632492,-0.0318509536423686,-0.18707965099143256,-3.8692846064450492,1.731824921296327,0.07180151663502816,1.9635718792577173,0.4727091955074524,-0.04146003198826958,-0.6557592974792208,6.740705771335342e-10,3.234501906033389e-11,1.9987664463870485,1.4742888659293685,2.022064279843528,2.7350620295994075,3.0807694204222176,0.08917398800910137,0.3016234766327032,0.0076981155792250795,-0.08147587242987629,-3.693443830570007,1.855173767371069,0.03748554661699375,2.089664713353274,0.46060712382823576,-0.02020594904708781,-0.6756196435342857,7.086651265808541e-10,3.670283694487233e-11,0.6771468701941642,0.6565907972244034,0.6639045959495519,0.5756154084310763,0.7425280726047612,0.06589909873051658,0.28398204895670764,-0.03964921865892695,-0.10554831738944354,-0.1745458348570446,0.8766729763261484,0.2448283646114917,1.1308840692614626,0.6677710438362459,-0.27926988879877174,-0.44781042886073263,3.80236953034796e-11,2.4935383259216794e-11
4,rounds_1_150,89,95,10488781,533,502,0,2,0.2635244235329452,1.1103713841385277,2.5953352667697147,0.8689515279623614,1.3042044623437354,2.840260568133044,0.03541158616288742,0.14352604453226028,-0.14940557885246863,-0.18481716501535606,-1.0893985661814494,0.5025186838257757,0.027438184227571324,1.0943713532888473,0.8886945120133566,-0.05460132152436386,-0.7522684650494593,1.6137846614583395e-09,9.564058826839376e-11,1.0060164162617502,2.333100765928195,0.642842439685982,1.172607150212755,2.598146155397335,-0.005771803097160522,0.025153951659740836,-0.03977343719151795,-0.03400163409435743,-0.9869150781283941,0.5025960161417409,0.006246443224701828,1.1136022041309883,0.892377505260763,-0.012428358013367584,-0.8366083184882478,2.8985791544755557e-10,2.1255670723994352e-11,0.4695232695147984,1.1359975445322847,0.5844415857670722,0.5704180685669658,1.1463880020355564,0.041179330822255444,0.11832364742106413,-0.10965153968598165,-0.1508308705082371,-0.10212845319480188,0.5021296668399221,0.11687872147855628,1.0091465492626126,0.8751169779718753,-0.2327660148306214,-0.38132594901942823,1.9034991360911135e-09,5.890023462713806e-10
