round,test_accuracy
313,73.879997
314,74.559998
315,71.860001
316,72.510002
317,71.010002
318,66.919998
319,59.82
320,64.599998
321,65.669998
322,72.25
323,71.489998
324,71.800003
325,74.25
326,73.709999
327,73.790001
328,73.040001
329,74.610001
330,73.900002
331,67.870003
332,71.209999
333,72.709999
334,73.540001
335,74.360001
336,74.730003
337,74.489998
338,74.779999
339,71.529999
340,73.980003
341,71.5
342,73.559998
343,61.27
344,69.07
345,70.239998
346,74.650002
347,68.199997
348,68.309998
349,74.690002
350,75.120003
351,69.080002
352,74.169998
353,73.169998
354,74.5
355,64.110001
356,69.75
357,71.25
358,72.669998
359,65.669998
360,69.629997
361,69.529999
362,69.300003
363,69.849998
364,67.699997
365,65.779999
366,68.099998
367,70.449997
368,74.029999
369,71.5
370,69.089996
371,74.410004
372,72.449997
373,69.489998
374,69.550003
375,68.489998
376,73.199997
377,67.440002
378,72.809998
379,72.669998
380,75.160004
381,74.900002
382,74.43
383,68.25
384,73.449997
385,72.519997
386,74.419998
387,74.889999
388,74.5
389,75.139999
390,71.980003
391,72.410004
392,65.949997
393,72.07
394,68.18
395,70.32
396,65.690002
397,74.43
398,73.010002
399,63.509998
400,69.150002
401,72.410004
402,67.720001
403,56.889999
404,70.57
405,70.849998
406,71.029999
407,68.599998
408,73.860001
409,74.93
410,67.720001
411,73.379997
412,65.970001
413,73.360001
414,75.510002
415,74.669998
416,70.029999
417,74.550003
418,71.900002
419,73.760002
420,75.18
421,73.93
422,72.75
423,73.970001
424,74.389999
425,75.410004
426,69.360001
427,73.43
428,73.620003
429,71.68
430,74.870003
431,75.269997
432,74.610001
433,75.120003
434,73.980003
435,74.529999
436,71.580002
437,75.559998
438,75.800003
439,75.459999
440,72.639999
441,73.889999
442,75.089996
443,73.5
444,68.349998
445,72.830002
446,74.300003
447,73.199997
448,74.769997
449,70.260002
450,76.07
451,74.239998
452,76.139999
453,75.669998
454,68.470001
455,74.550003
456,73.599998
457,75.610001
458,73.449997
459,76.190002
460,72.239998
461,75.510002
462,75.639999
463,76.089996
464,69.510002
465,71.190002
466,75.68
467,71.889999
468,65.830002
469,68.18
470,72.620003
471,70.18
472,74.639999
473,74.190002
474,73.989998
475,72.300003
476,75.139999
477,75.290001
478,72.669998
479,75.349998
480,72.260002
481,74.82
482,70.440002
483,71.739998
484,74.440002
485,74.559998
486,72.089996
487,74.139999
488,75.510002
489,75.75
490,75.160004
491,73.18
492,75.830002
493,75.980003
494,71.830002
495,74.690002
496,74.269997
497,65.949997
498,67.470001
499,62.220001
500,73.610001
