round,transplant_probe_0.2,transplant_probe_0.5,pure_fedavg
88,69.36000061035156,69.36000061035156,70.349998
89,71.0199966430664,71.0199966430664,71.480003
90,70.11000061035156,70.11000061035156,68.889999
91,68.37000274658203,68.37000274658203,68.199997
92,68.01000213623047,68.01000213623047,68.199997
93,66.16000366210938,66.16000366210938,64.110001
94,69.55000305175781,69.55000305175781,68.699997
95,69.5999984741211,69.5999984741211,68.970001
96,67.8499984741211,67.8499984741211,68.0
97,68.66999816894531,68.66999816894531,66.870003
98,66.98999786376953,66.98999786376953,64.690002
99,64.9000015258789,64.9000015258789,64.730003
100,63.2599983215332,63.2599983215332,62.970001
101,68.3499984741211,68.3499984741211,66.849998
102,71.91999816894531,71.91999816894531,70.879997
103,70.87000274658203,70.87000274658203,71.800003
104,69.87000274658203,69.87000274658203,70.5
105,70.44000244140625,70.44000244140625,70.260002
106,66.93000030517578,66.93000030517578,67.57
107,54.540000915527344,54.540000915527344,58.630001
108,70.30999755859375,70.30999755859375,69.400002
109,71.55000305175781,71.55000305175781,70.870003
110,69.83999633789062,69.83999633789062,71.010002
111,70.44000244140625,70.44000244140625,71.209999
112,70.81999969482422,70.81999969482422,70.589996
113,68.33999633789062,68.33999633789062,69.959999
114,68.69000244140625,68.69000244140625,67.610001
115,63.16999816894531,63.16999816894531,64.610001
116,70.97000122070312,70.97000122070312,70.709999
117,65.30999755859375,65.30999755859375,64.199997
118,68.2699966430664,68.2699966430664,68.720001
119,63.22999954223633,63.22999954223633,64.879997
120,69.25,69.25,68.669998
121,71.56999969482422,71.56999969482422,72.5
122,69.0199966430664,69.0199966430664,67.0
123,72.01000213623047,72.01000213623047,69.730003
124,62.04999923706055,62.04999923706055,61.790001
125,62.68000030517578,62.68000030517578,62.459999
126,64.29000091552734,64.29000091552734,64.239998
127,71.19999694824219,71.19999694824219,70.360001
128,68.23999786376953,68.23999786376953,68.919998
129,71.02999877929688,71.02999877929688,72.279999
130,68.55999755859375,68.55999755859375,67.419998
131,66.27999877929688,66.27999877929688,66.190002
132,74.20999908447266,74.20999908447266,72.269997
133,69.30999755859375,69.30999755859375,67.949997
134,72.97000122070312,72.97000122070312,71.330002
135,66.58000183105469,66.58000183105469,67.660004
136,59.38999938964844,59.38999938964844,63.73
137,72.11000061035156,72.11000061035156,71.540001
138,73.44999694824219,73.44999694824219,73.099998
139,69.68000030517578,69.68000030517578,70.839996
140,71.66999816894531,71.66999816894531,71.510002
141,72.9000015258789,72.9000015258789,72.019997
142,66.69999694824219,66.69999694824219,63.93
143,61.41999816894531,61.41999816894531,61.66
144,71.41000366210938,71.41000366210938,72.199997
145,71.69999694824219,71.69999694824219,67.970001
146,61.70000076293945,61.70000076293945,62.799999
147,70.73999786376953,70.73999786376953,71.290001
148,70.51000213623047,70.51000213623047,71.599998
149,71.54000091552734,71.54000091552734,68.830002
150,71.19000244140625,71.19000244140625,72.519997
151,63.4900016784668,63.4900016784668,63.939999
