run,target_client_id,probe_count,unique_donor_count,recovery_pull_score_all_mean,recovery_pull_score_all_std,cos_WBA_minus_WB__WA_minus_Wt_all_mean,cos_WBA_minus_WB__WA_minus_Wt_all_std,cos_WBA_minus_WB__WB_minus_Wt_all_mean,cos_WBA_minus_WB__WB_minus_Wt_all_std,cos_WBA_minus_Wt__WA_minus_Wt_all_mean,cos_WBA_minus_Wt__WA_minus_Wt_all_std,cos_WBA_minus_Wt__WB_minus_Wt_all_mean,cos_WBA_minus_Wt__WB_minus_Wt_all_std,recovery_pull_score_conv_mean,recovery_pull_score_conv_std,cos_WBA_minus_WB__WA_minus_Wt_conv_mean,cos_WBA_minus_WB__WA_minus_Wt_conv_std,cos_WBA_minus_WB__WB_minus_Wt_conv_mean,cos_WBA_minus_WB__WB_minus_Wt_conv_std,cos_WBA_minus_Wt__WA_minus_Wt_conv_mean,cos_WBA_minus_Wt__WA_minus_Wt_conv_std,cos_WBA_minus_Wt__WB_minus_Wt_conv_mean,cos_WBA_minus_Wt__WB_minus_Wt_conv_std,recovery_pull_score_classifier_mean,recovery_pull_score_classifier_std,cos_WBA_minus_WB__WA_minus_Wt_classifier_mean,cos_WBA_minus_WB__WA_minus_Wt_classifier_std,cos_WBA_minus_WB__WB_minus_Wt_classifier_mean,cos_WBA_minus_WB__WB_minus_Wt_classifier_std,cos_WBA_minus_Wt__WA_minus_Wt_classifier_mean,cos_WBA_minus_Wt__WA_minus_Wt_classifier_std,cos_WBA_minus_Wt__WB_minus_Wt_classifier_mean,cos_WBA_minus_Wt__WB_minus_Wt_classifier_std
probe_0.2,10,11,11,-0.22482368728759355,0.22110591228119206,0.27069321018645565,0.16472564603475812,-0.059501130302162045,0.027508829785899008,0.2530982319293286,0.15421411356679837,0.5143303394644824,0.18767578714696118,-0.23430095827557115,0.22413388989164684,0.2578091196330527,0.1693779403546648,-0.0508923243136104,0.020595864308292,0.2396547995553469,0.15976360354050803,0.5212824105903672,0.19014464884366516,0.09117910378711783,0.14129725254593753,0.5313113431413341,0.22675407143594076,-0.2283380668734444,0.18515449900425057,0.5961033396039485,0.11541782425776664,0.38878426449674647,0.2821504503247551
probe_0.2,11,7,7,-0.26914104339287687,0.23650513259525982,0.24121516063470086,0.17923908955725437,-0.07125456616992652,0.027358880939750613,0.21549662911265943,0.17382233114206436,0.5428582986760145,0.15559317198915562,-0.27506433030953115,0.23845638174166073,0.2348469396009624,0.17915853335149046,-0.06417607437388674,0.021840387302040225,0.20941037403504972,0.17327269590801767,0.5479359962069601,0.15547271202926918,-0.0238357896618966,0.2493687554235579,0.4713433932541599,0.2048464092704996,-0.273395398745744,0.1333729473039624,0.4788550582476688,0.20701163411880388,0.37024517641714,0.19654171403877316
probe_0.2,12,8,7,-0.7039769196921284,0.5223877788226967,0.19861822286062605,0.12239430961890721,-0.08010234528484092,0.024322677852038562,0.1850681466022569,0.12952519759460548,0.4461188442192117,0.2601210509820252,-0.7193884792381784,0.5369386876951769,0.19165998493847713,0.1260450795139156,-0.06933956818239001,0.02043598366984079,0.1780555907225333,0.13272634478680567,0.4532833857778547,0.258708714446863,-0.3064658981767569,0.21769908108997296,0.33935978317362303,0.20494204996086135,-0.3129195193736713,0.16575701917020472,0.39921471383948226,0.1571375805719786,0.29322103307858294,0.29300775839580256
probe_0.2,13,7,7,-0.21345487239682762,0.11897186280368277,0.2953783431169736,0.1051952988632134,-0.07683794154611093,0.02482470219379966,0.2575190976894614,0.10897730529592736,0.5162362600699593,0.18800155713249603,-0.22121874689971818,0.11701578863250811,0.28523143001245355,0.10789078640190021,-0.06184372929046387,0.015173839076105892,0.24656207398474211,0.11320090699929024,0.5270525181468855,0.1927023925108052,0.0231478488642679,0.248946874583793,0.522387917627677,0.1598435379587296,-0.3590501875463086,0.10816187264501086,0.5522123945619462,0.12695001739748685,0.24421714588381319,0.2518830060625695
probe_0.2,14,11,11,-0.3446946077171305,0.3843318980906703,0.2624765631639246,0.2021620520120647,-0.07816098298284298,0.05496004730501111,0.23901580709019124,0.19448713834423098,0.5343734469160524,0.19223065817217827,-0.35442497906661824,0.38602935245969217,0.24957266503886996,0.20561678974374079,-0.06562639034527648,0.03942100675264507,0.22763735563661278,0.19610766530833673,0.544468096137414,0.18570533425648741,-0.05175250757673593,0.34400489698569775,0.49205995365193667,0.218067260053549,-0.29384252447642517,0.2870529423917857,0.5295471341968955,0.20279332676087022,0.3289827465264183,0.3558531376145818
probe_0.2,15,12,12,-0.41941257631393647,0.418701576464238,0.2063510360253418,0.05248066270100261,-0.10027375293763093,0.05366842738231514,0.18712692295534253,0.0540092803052514,0.5199262922254654,0.1462308398056219,-0.42764332590901405,0.4116003982245385,0.1960764549334424,0.061145071059731326,-0.07961478961101691,0.03629134003214643,0.17482888544232644,0.056028609991124856,0.5318412950250275,0.1436200834028779,-0.2638322729285179,0.6256639607373545,0.3785654241113586,0.16727111928409938,-0.3900731466155654,0.18131968673886437,0.4278521293568934,0.130729542573478,0.23180955928312016,0.30800160802372756
probe_0.2,16,10,9,-0.4351493208241316,0.40354902817814464,0.18830137020556503,0.08690995496454768,-0.09346584872219794,0.04114089646672628,0.17144374976106175,0.08307368770764326,0.4597987143889732,0.14193074639962888,-0.4397578305489637,0.3909517332138519,0.1706507311374198,0.07308227799100817,-0.06912270820161276,0.020271127665450518,0.15216069023421822,0.07009139288000922,0.48316703293155855,0.14360444437096434,-0.4534187491728627,0.7860313199839136,0.44924995782776733,0.17420563308797124,-0.39655498125053484,0.17586881754721748,0.4829673093014712,0.1765818326234709,0.06653010597025458,0.32042808082204544
probe_0.2,17,7,7,-0.07532505763337961,0.23653107710851834,0.36827935277020674,0.20767282510924176,-0.07463830633180846,0.0377901051145548,0.3302620094947,0.22851618236218846,0.47509849657419745,0.264868093423187,-0.09472698657472442,0.2409708573135949,0.3222330565624469,0.23053156314965448,-0.05747950588018019,0.01928507262171766,0.2898112044922692,0.2504853522907326,0.4992907817275423,0.28209609225985327,0.2614934507814333,0.17585187469425953,0.7239198174627882,0.09547308798518764,-0.2390743046713339,0.17863987183698563,0.7479743312885925,0.08307972455997381,0.17178834650315064,0.23524176185850026
probe_0.2,18,6,6,-0.47088390114080997,0.2735287816150365,0.2975985690336697,0.16640930280169203,-0.06225893813203661,0.04409743769069755,0.29365013972523873,0.15862547955921058,0.3562776645785899,0.1561265006880843,-0.47716772298206767,0.27034470744263883,0.2950951988165265,0.16640042710852898,-0.0547391813897048,0.0333301423880341,0.2889574357461562,0.1585442366084455,0.36086852300747224,0.15748822800427878,-0.20716110501818738,0.4945355852218843,0.44237766405755846,0.22810525344678337,-0.23051986095310764,0.2573536987934594,0.5276476196370826,0.19293673531930094,0.24154856385704157,0.2710071562329414
probe_0.2,19,9,8,-0.698232922586823,0.687802912977591,0.17558515848622752,0.1265203857630298,-0.0836683195790525,0.030856632980488064,0.16251484688979023,0.12742178886243657,0.47546928063661414,0.2726907090003906,-0.7071367796031383,0.6932093860996422,0.17133218716394022,0.12390781812391916,-0.07258803636354005,0.02381647526337979,0.15742139068428104,0.1254423737705819,0.4842587864673286,0.27278308574933635,-0.33785410068089805,0.403705346177585,0.30451357414448854,0.2715835320941139,-0.3647612000373032,0.1781025582471513,0.35948383513970444,0.20769075288160774,0.21359342903127881,0.36233210856255377
