round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
54,51.130001068115234,1.4606856689453125,"[84, 2, 76, 48, 68, 40, 92, 8, 42, 46]","[[8, 46], [46, 8], [76, 84], [48, 42], [40, 48]]",15.098689699952956
55,67.79000091552734,0.9449885524749756,"[91, 70, 16, 58, 10, 35, 31, 86, 62, 54]","[[58, 31], [35, 86], [91, 35], [86, 58], [70, 16]]",17.955351300013717
56,66.66999816894531,1.0062938425064087,"[32, 41, 20, 75, 69, 62, 74, 38, 80, 58]","[[80, 75], [41, 32], [32, 62], [20, 75], [74, 75]]",18.246799700020347
57,62.599998474121094,1.1474414026260376,"[89, 0, 84, 16, 97, 67, 41, 38, 59, 60]","[[38, 16], [89, 38], [60, 16], [41, 97], [16, 38]]",15.628073400002904
58,52.59000015258789,1.496378854560852,"[59, 21, 34, 35, 95, 41, 9, 12, 47, 42]","[[12, 9], [34, 21], [95, 12], [35, 9], [41, 35]]",15.714552999997977
59,62.90999984741211,1.163303980064392,"[88, 78, 75, 43, 57, 63, 34, 79, 17, 93]","[[93, 78], [63, 43], [34, 43], [43, 88], [17, 79]]",17.8237889999873
60,66.70999908447266,1.001432338619232,"[76, 35, 9, 75, 32, 97, 53, 72, 27, 91]","[[32, 75], [27, 32], [76, 32], [72, 27], [53, 91]]",14.336938299995381
61,67.83999633789062,0.9726240626335144,"[60, 14, 9, 43, 15, 68, 7, 44, 65, 89]","[[44, 14], [7, 9], [15, 43], [14, 43], [9, 15]]",20.708094999950845
62,65.02999877929688,1.044056822013855,"[56, 67, 28, 93, 30, 71, 78, 48, 25, 19]","[[48, 19], [30, 48], [28, 19], [19, 28], [78, 67]]",17.53815239999676
63,64.5999984741211,1.0504536853790283,"[61, 18, 63, 89, 0, 99, 42, 76, 81, 9]","[[89, 63], [76, 18], [61, 76], [99, 0], [0, 76]]",17.31286010000622
64,64.80000305175781,1.0698655040740968,"[14, 22, 8, 93, 29, 90, 73, 28, 57, 58]","[[93, 73], [28, 8], [73, 29], [14, 29], [57, 93]]",19.469803300045896
65,66.02999877929688,1.0147626710891724,"[16, 90, 78, 23, 55, 61, 31, 0, 11, 82]","[[78, 23], [11, 82], [31, 23], [16, 78], [90, 31]]",18.006203600030858
66,66.43000030517578,0.9884817358016967,"[28, 65, 16, 72, 11, 36, 19, 51, 81, 53]","[[19, 16], [16, 51], [36, 65], [72, 11], [51, 81]]",19.232782499981113
67,62.04999923706055,1.1181264709472656,"[53, 63, 96, 28, 78, 90, 58, 73, 34, 4]","[[78, 28], [28, 34], [96, 53], [4, 53], [63, 96]]",16.431982100009918
68,58.290000915527344,1.3222295753479003,"[38, 57, 22, 41, 70, 39, 10, 5, 17, 32]","[[32, 22], [5, 17], [41, 57], [17, 41], [57, 10]]",17.191678999981377
69,69.3499984741211,0.9310235709190369,"[60, 67, 48, 59, 46, 94, 22, 29, 53, 97]","[[60, 46], [48, 29], [97, 60], [29, 94], [59, 67]]",15.980861999967601
70,62.59000015258789,1.1396082935333252,"[61, 33, 76, 48, 37, 54, 38, 13, 8, 39]","[[37, 8], [76, 38], [61, 48], [8, 76], [39, 54]]",15.604093800007831
71,61.400001525878906,1.218937352371216,"[31, 88, 91, 25, 50, 95, 67, 45, 80, 70]","[[67, 80], [50, 80], [31, 67], [25, 45], [91, 45]]",15.910430999996606
72,65.08000183105469,1.026044990158081,"[3, 23, 17, 94, 61, 43, 63, 91, 37, 84]","[[63, 43], [91, 84], [3, 84], [84, 94], [17, 23]]",18.510161800018977
73,66.41000366210938,1.0564693326950074,"[11, 73, 78, 47, 45, 83, 36, 75, 91, 57]","[[75, 73], [45, 91], [11, 57], [83, 57], [91, 83]]",17.25717179995263
74,66.69000244140625,1.0139246646881104,"[46, 54, 66, 62, 96, 49, 24, 75, 60, 52]","[[54, 75], [66, 52], [49, 60], [52, 24], [60, 54]]",17.678533900005277
75,71.66000366210938,0.8801429231643677,"[75, 51, 39, 89, 14, 54, 41, 30, 24, 80]","[[39, 89], [14, 24], [51, 39], [41, 75], [75, 51]]",17.296048999996856
76,62.0,1.1929359809875488,"[67, 90, 45, 78, 32, 86, 50, 55, 33, 60]","[[45, 78], [86, 67], [55, 78], [78, 60], [60, 32]]",17.061917199986055
77,67.20999908447266,1.0159402435302733,"[4, 16, 51, 33, 89, 30, 13, 77, 43, 85]","[[33, 85], [51, 13], [85, 43], [13, 89], [89, 4]]",15.52790859999368
78,65.87999725341797,1.0651943552017211,"[97, 76, 96, 72, 42, 17, 33, 51, 24, 36]","[[76, 36], [17, 51], [97, 17], [33, 24], [36, 17]]",18.931401899957564
79,66.58999633789062,1.0363479297637939,"[22, 47, 61, 27, 50, 96, 89, 97, 85, 30]","[[96, 27], [85, 96], [30, 27], [97, 96], [22, 89]]",15.44042439997429
80,64.58000183105469,1.0668142147064208,"[44, 70, 23, 38, 74, 21, 82, 4, 88, 98]","[[44, 23], [88, 38], [21, 98], [82, 38], [4, 82]]",16.21440050000092
81,66.12000274658203,1.108415566253662,"[90, 72, 65, 50, 85, 56, 4, 80, 31, 17]","[[72, 50], [17, 85], [4, 72], [56, 85], [80, 17]]",18.24792829999933
82,66.1500015258789,1.030324388217926,"[61, 40, 41, 34, 97, 51, 50, 13, 22, 8]","[[41, 97], [97, 41], [22, 51], [40, 22], [34, 50]]",15.792446999985259
83,68.51000213623047,0.9931323350906373,"[87, 54, 63, 83, 96, 26, 0, 59, 69, 14]","[[59, 0], [96, 69], [69, 14], [14, 63], [26, 69]]",15.648345299996436
84,64.93000030517578,1.1612492725372314,"[58, 47, 83, 36, 8, 2, 56, 49, 10, 38]","[[56, 49], [8, 10], [36, 83], [83, 47], [10, 58]]",16.228386499977205
85,67.08999633789062,1.0294190711975097,"[89, 90, 81, 54, 59, 4, 53, 47, 52, 19]","[[54, 90], [89, 47], [81, 89], [53, 19], [52, 53]]",16.947307499998715
86,64.4800033569336,1.1775955005645753,"[24, 13, 81, 73, 19, 55, 40, 76, 57, 96]","[[19, 96], [57, 81], [96, 24], [24, 19], [73, 96]]",17.16655320004793
87,66.06999969482422,1.0969421180725099,"[31, 75, 94, 20, 87, 26, 29, 70, 2, 50]","[[26, 70], [29, 87], [20, 26], [50, 26], [2, 75]]",16.831457399995998
88,69.36000061035156,0.9732070236206055,"[0, 9, 46, 37, 72, 83, 73, 16, 55, 27]","[[0, 46], [55, 72], [37, 27], [83, 73], [9, 27]]",16.368342500005383
89,71.0199966430664,0.8923840021133422,"[80, 29, 9, 50, 26, 81, 48, 82, 37, 15]","[[29, 15], [80, 29], [48, 9], [26, 15], [9, 80]]",17.488313900015783
90,70.11000061035156,0.9148580629348755,"[82, 6, 87, 74, 29, 50, 62, 67, 12, 83]","[[29, 12], [83, 50], [6, 50], [50, 6], [67, 87]]",15.619218099978752
91,68.37000274658203,0.9989101802825928,"[36, 75, 89, 43, 12, 21, 95, 72, 24, 63]","[[75, 89], [21, 75], [24, 63], [12, 36], [95, 36]]",17.69876880000811
92,68.01000213623047,0.998760122680664,"[34, 15, 31, 94, 46, 70, 19, 80, 6, 88]","[[94, 88], [15, 19], [34, 88], [19, 34], [46, 34]]",17.746610600035638
93,66.16000366210938,1.053637905406952,"[70, 92, 72, 77, 23, 53, 1, 12, 97, 93]","[[23, 1], [12, 77], [70, 92], [53, 77], [97, 72]]",17.74771139997756
94,69.55000305175781,0.9877853399276734,"[13, 38, 36, 14, 57, 77, 66, 73, 3, 0]","[[57, 14], [66, 77], [38, 57], [77, 14], [0, 14]]",16.850069999985863
