round,test_accuracy,round_train_seconds,selected_clients,global_state_sha256,round_shadow_event_count,observer_history_bytes,max_alignment_identity_abs_error,max_response_identity_abs_error,max_epsilon_geometry_abs_error
71,61.630001068115234,24.271737099974416,"[31, 88, 91, 25, 50, 95, 67, 45, 80, 70]",f67b62443482b25d866c96b29ac666a0b6413743f44d08383c933b93894e55ed,5,4441359912,1.1440229667759839e-08,1.566571938838024e-08,0.0015250563621521662
72,66.0999984741211,8.663970299996436,"[3, 23, 17, 94, 61, 43, 63, 91, 37, 84]",57829bd0dabd2469df29d9387c369e8c0be6ee0f55bc06dc164b3c798c58556b,0,4441359912,nan,nan,nan
73,66.9800033569336,19.714681099983864,"[11, 73, 78, 47, 45, 83, 36, 75, 91, 57]",337c5e1d6da5ec69c02a216c61b50bfc81c7e15f2a95d76b4978e5ebcbc4e36c,10,4441359912,3.233848122619065e-08,3.364725742471819e-08,0.0013247489929200107
74,66.0999984741211,12.8878067000187,"[46, 54, 66, 62, 96, 49, 24, 75, 60, 52]",7a2d79b2f092cf9a483130e1c4c366969049d7b966e15ac3b9685d68a1112189,5,4441359912,7.473234182636852e-09,3.311166807407062e-08,0.000642275810241788
75,71.26000213623047,18.550025000004098,"[75, 51, 39, 89, 14, 54, 41, 30, 24, 80]",ae455a029c9e10985143b7f7aac4814690cf45200f6d5220e7f131d70669e2b0,10,4441359912,6.19545065029016e-08,2.5170402651042423e-08,0.003329825401306108
76,61.540000915527344,18.01701020001201,"[67, 90, 45, 78, 32, 86, 50, 55, 33, 60]",c7a15fc820b9371a8831ea4066a470798504f0cbd0a69918424391db1c03b523,10,4441359912,1.5319355117782152e-08,4.976103795684139e-08,0.00021642446517944336
77,65.0199966430664,11.83946400001878,"[4, 16, 51, 33, 89, 30, 13, 77, 43, 85]",833010aa4332cfd110c0c303ffa9016f219f980fb47685988c1e07fa7188d4c1,5,4441359912,1.705161922771481e-08,2.0925854826714385e-08,0.0007883906364440918
78,67.1500015258789,24.695476099965163,"[97, 76, 96, 72, 42, 17, 33, 51, 24, 36]",6158aa4a8d8c92e4ef6a2fad717e64b008dbd300353afbe22b0f627a0c7e146c,15,4441359912,3.440622422558326e-08,2.991056291534733e-08,0.00045470595359803356
79,66.6500015258789,11.910412499972153,"[22, 47, 61, 27, 50, 96, 89, 97, 85, 30]",f7e11b13ad98dbe3ecaa0a7a29404fee1905e5667c57d915876a594f4fc9e1b8,5,4441359912,2.0403519425111864e-08,1.3014350486173498e-08,0.000704866647720348
80,68.16000366210938,9.771561399975326,"[44, 70, 23, 38, 74, 21, 82, 4, 88, 98]",6a5e84528c776b148914968be2b83af20c1f83738917c45ebce433679aa00c4b,5,4441359912,3.4124484971044186e-08,1.4648234625269652e-08,0.0007289767265319935
81,65.29000091552734,8.58617259998573,"[90, 72, 65, 50, 85, 56, 4, 80, 31, 17]",7ec72f891515aa6c8985f89262d6d6369380e2e43f6397337a9c8f5b1aabb507,0,4441359912,nan,nan,nan
