layer,score_type,output_kernels,reset_budget,number_valid_events,mean_same_overlap,median_same_overlap,mean_random_expected_overlap,mean_cross_overlap,mean_identity_overlap_advantage,mean_same_spearman,median_same_spearman,mean_cross_spearman,mean_identity_rank_advantage
features.17,norm_residual,256,4,2900,0.022155172413793105,0.0,0.016125190952910637,0.0168544061302682,0.005300766283524903,0.045080352050109705,0.04340582914130074,0.004311875707290177,0.04076847634281953
features.17,angular,256,4,2900,0.01629310344827586,0.0,0.016125190952910637,0.015742337164750958,0.0005507662835249044,-0.000272620065378942,-0.000931897893257764,0.0037736863196041587,-0.0040463063849831005
features.20,update_norm,256,4,2900,0.1845689655172414,0.25,0.016125056756503206,0.07932950191570881,0.10523946360153257,0.5444487022574458,0.5560468332779991,0.30739665496397217,0.2370520472934737
features.20,residual,256,4,2900,0.17439655172413793,0.25,0.016125056756503206,0.08834578544061303,0.0860507662835249,0.535739501075769,0.5472319871099915,0.34353882627317545,0.1922006748025936
features.20,norm_residual,256,4,2900,0.030862068965517242,0.0,0.016125056756503206,0.01678544061302682,0.014076628352490421,0.08208218044092144,0.07640933329766761,0.00010082927227165015,0.0819813511686498
features.20,angular,256,4,2900,0.016724137931034482,0.0,0.016125056756503206,0.016588122605363985,0.00013601532567049805,-0.002661257743770743,-0.0012764916266869751,0.0008958947942786436,-0.0035571525380493864
features.24,update_norm,512,8,2900,0.21150862068965517,0.25,0.016125161249335267,0.07941522988505748,0.1320933908045977,0.5701828360514473,0.583247136779622,0.3261170432716028,0.2440657927798446
features.24,residual,512,8,2900,0.2090948275862069,0.25,0.016125161249335267,0.0895919540229885,0.1195028735632184,0.5807444765872668,0.5955343497937773,0.3757145647286155,0.20502991185865135
features.24,norm_residual,512,8,2900,0.03267241379310345,0.0,0.016125161249335267,0.018203065134099618,0.01446934865900383,0.0894619097112516,0.08261025196441388,0.003416651047848779,0.08604525866340283
features.24,angular,512,8,2900,0.025517241379310347,0.0,0.016125161249335267,0.01804837164750958,0.007468869731800766,-0.000779165643736951,0.0007888976085250507,0.003935610370653231,-0.004714776014390183
features.27,update_norm,512,8,2900,0.19301724137931034,0.125,0.01612521679792628,0.07837260536398467,0.11464463601532567,0.5866866151416555,0.6061019244108257,0.2965928769747341,0.29009373816692136
features.27,residual,512,8,2900,0.1906896551724138,0.125,0.01612521679792628,0.08340181992337166,0.10728783524904213,0.5900412849341586,0.6055896965369932,0.34056866007191966,0.249472624862239
features.27,norm_residual,512,8,2900,0.04366379310344828,0.0,0.01612521679792628,0.019440613026819924,0.024223180076628353,0.12510045654075286,0.11935110172275099,0.00506094134412871,0.12003951519662415
features.27,angular,512,8,2900,0.02478448275862069,0.0,0.01612521679792628,0.01786206896551724,0.006922413793103447,0.0009691202727405736,-0.0002382820874415604,0.006701696892733969,-0.005732576619993396
features.30,update_norm,512,8,2900,0.23073275862068965,0.25,0.016125317603068408,0.10683860153256704,0.12389415708812263,0.6237011406227919,0.6453122940969374,0.3715766929460083,0.2521244476767836
features.30,residual,512,8,2900,0.23461206896551723,0.25,0.016125317603068408,0.12164894636015328,0.112963122605364,0.6294554806075313,0.6487050356882251,0.4218944430531255,0.20756103755440586
features.30,norm_residual,512,8,2900,0.035818965517241376,0.0,0.016125317603068408,0.017272509578544062,0.018546455938697314,0.1182133936517209,0.11443705573961263,0.0024068165520140885,0.1158065770997068
features.30,angular,512,8,2900,0.01793103448275862,0.0,0.016125317603068408,0.016944444444444446,0.0009865900383141755,0.00188319959394295,0.002226309961430361,0.003757368952242327,-0.0018741693582993775
features.34,update_norm,512,8,2900,0.11125,0.125,0.01612529526705241,0.044318965517241384,0.06693103448275863,0.45796708694655786,0.4692142591620102,0.23004791472497882,0.2279191722215791
features.34,residual,512,8,2900,0.11107758620689655,0.125,0.01612529526705241,0.04573802681992337,0.06533955938697318,0.4608341472451355,0.46991519006512195,0.2627393029094252,0.1980948443357103
features.34,norm_residual,512,8,2900,0.03547413793103448,0.0,0.01612529526705241,0.01783189655172414,0.017642241379310346,0.04964254989648089,0.04812019723423631,0.0046805410422223635,0.04496200885425853
features.34,angular,512,8,2900,0.030603448275862068,0.0,0.01612529526705241,0.018931034482758624,0.011672413793103447,-0.002528093679899627,-0.0031975290483197624,0.004864790808544436,-0.007392884488444064
features.37,update_norm,512,8,2900,0.11435344827586207,0.125,0.016124646301312794,0.04508285440613027,0.0692705938697318,0.4131221693651529,0.4250525145004927,0.1723114698405114,0.24081069952464143
features.37,residual,512,8,2900,0.11219827586206897,0.125,0.016124646301312794,0.046250478927203055,0.06594779693486591,0.41715389638492745,0.4253813201791393,0.200835180491032,0.2163187158938955
features.37,norm_residual,512,8,2900,0.03422413793103448,0.0,0.016124646301312794,0.018008620689655173,0.01621551724137931,0.0670600962589414,0.0631976076088997,0.007282488768187025,0.05977760749075437
features.37,angular,512,8,2900,0.026293103448275863,0.0,0.016124646301312794,0.018495689655172416,0.007797413793103447,0.0017058213546334066,0.001480879411365554,0.007146828563743721,-0.0054410072091103144
features.40,update_norm,512,8,2900,0.1260344827586207,0.125,0.016125317693223052,0.05742768199233716,0.06860680076628352,0.4295351871488373,0.4340587513349894,0.20693977074557582,0.22259541640326144
features.40,residual,512,8,2900,0.10892241379310345,0.125,0.016125317693223052,0.053465517241379316,0.05545689655172414,0.4166763603490165,0.4184998062667304,0.22374748380883736,0.19292887654017912
features.40,norm_residual,512,8,2900,0.0346551724137931,0.0,0.016125317693223052,0.01991522988505747,0.014739942528735634,0.06217789945110022,0.05808604037720235,0.008393516152740197,0.05378438329836003
features.40,angular,512,8,2900,0.03017241379310345,0.0,0.016125317693223052,0.020832375478927204,0.009340038314176244,0.005149754380757965,0.00434896770653245,0.0047360305653869625,0.00041372381537100293
